"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","engine","n","converged","singular_fit","rank_deficient","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","status","analysis_variant"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6cbe5bbd310c","Rhinoceros Auklet","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1816,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_725074cbfcb6","Glaucous-winged Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217037,TRUE,FALSE,FALSE,"",,0.282788944856739,2.07314927423625,4.87474929181108,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_725074cbfcb6","Glaucous-winged Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",85053,TRUE,FALSE,FALSE,"",0.041500898078084,0.0273659482257236,0.281494172512034,0.5519106282321,0.939425696638857,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7571c026ae99","American Herring Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217179,TRUE,FALSE,FALSE,"",,0.30586062009772,2.30625762604528,3.69399667093944,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7571c026ae99","American Herring Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1851,TRUE,FALSE,FALSE,"",0.00575992544327164,0.0133899003340032,0.103972828973395,0.0131477258017918,0.513649981330841,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7b80ddaff058","Great Blue Heron","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.0304924098287673,0.210307173522946,2.96341420733026,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7b80ddaff058","Great Blue Heron","core_species","conditional_positive_numeric_count","lme4_lmer_REML",50285,TRUE,FALSE,FALSE,"",0.0149804691318423,0.0169289744101909,0.0342228903821308,0.124403640895732,0.443456807548478,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7d980a7c8c37","Northern Pintail","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.191499623767774,0.367715656571027,10.7253424533399,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7d980a7c8c37","Northern Pintail","core_species","conditional_positive_numeric_count","lme4_lmer_REML",14278,TRUE,FALSE,FALSE,"",0.00594267476117238,0.0534665950132175,0.161199932959569,0.560831097731933,1.32206741364844,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_815c98107028","Mallard","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.0882400715150228,0.530691201213234,4.86850801648282,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_815c98107028","Mallard","core_species","conditional_positive_numeric_count","lme4_lmer_REML",81526,TRUE,FALSE,FALSE,"",0.00579428160563111,0.989149022380627,0.145076995665097,0.786213069340895,1.04417680298184,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_82312e6f2848","Common Goldeneye","core_species","checklist_reporting","lme4_glmer_nAGQ0",216892,TRUE,FALSE,FALSE,"",,0.990241720631792,0.609980490300332,6.77216109923889,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_82312e6f2848","Common Goldeneye","core_species","conditional_positive_numeric_count","lme4_lmer_REML",21195,TRUE,FALSE,FALSE,"",0.0151314088725485,0.0558249846600544,0.100074547628562,0.291655122018261,0.776997293563064,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_8608f2ed61cf","Pigeon Guillemot","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.834486692994561,0.857742003178704,11.4957803638703,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_8608f2ed61cf","Pigeon Guillemot","core_species","conditional_positive_numeric_count","lme4_lmer_REML",6342,TRUE,FALSE,FALSE,"",0.0498935150972102,0.0305698549789359,0.064583149279148,0.158226549206928,0.532791497591847,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_86eda7ed9025","Red-necked Grebe","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.16495208254071,1.24621912558391,9.70885099772736,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_86eda7ed9025","Red-necked Grebe","core_species","conditional_positive_numeric_count","lme4_lmer_REML",8109,TRUE,FALSE,FALSE,"",0.0116920273285359,0.0206763496603469,0.139075874204378,0.134433080200945,0.708607612793588,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_87b306550dba","Harlequin Duck","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.34983143510564,0.523109343865899,13.9364728232496,,"completed","long_span_event_excluded"
