"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","analysis_variant","offset_days","placebo_seed"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6cbe5bbd310c","Rhinoceros Auklet","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_e0e678a61ad7","Short-billed Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1930f23cc4f8","Surf Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217183,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1812dd827ede","Surfbird","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217200,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_ebf17f77fb66","Western Grebe","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217186,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_5a9a3495d0ea","Western Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,216824,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_3083477933a8","White-winged Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,,,,,,,,,,217199,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c9db024faf12","American Crow","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,112180,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7571c026ae99","American Herring Gull","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,1851,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a113baee5693","American Wigeon","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,34665,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_fc0a9b777dcd","Bald Eagle","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,83359,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_d7dd9536145c","Barrow's Goldeneye","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,10960,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000006","Black-bellied Plover","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,3973,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000002","Black Oystercatcher","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,13626,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_1328b44be502","Black Scoter","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,1684,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_15dd5efcd8d6","Black Turnstone","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,4421,TRUE,"failed_insufficient_support","placebo_offset_m180__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_m180",-180,20260727
