"stage","analysis_taxon_id","species","outcome","comparison","parent_estimate","s1_estimate","estimate_delta","parent_standard_error","s1_standard_error","parent_ratio","s1_ratio","parent_q_value","s1_q_value","parent_status","s1_status","changed_direction","changed_bh_significance"
"s1_anchor","atx_82312e6f2848","Common Goldeneye","checklist_reporting","active_minus_pre14",-0.00411861618607883,0.00608051067354237,0.0101991268596212,0.0327834507986855,0.032435746947276,0.995889853681531,1.00609903450432,0.946004757190418,0.90805059398875,"completed","completed",TRUE,FALSE
"s1_anchor","atx_82312e6f2848","Common Goldeneye","conditional_positive_numeric_count","active_minus_pre14",0.178954138889555,0.181955949182746,0.00300181029319105,0.0212221360508088,0.0209856808413362,1.19596589458618,1.19956135105813,5.19133719770113e-16,4.94843116837402e-17,"completed","completed",FALSE,FALSE
"s1_anchor","atx_8608f2ed61cf","Pigeon Guillemot","checklist_reporting","active_minus_pre14",-0.0104214652897733,-0.0182024176074577,-0.0077809523176844,0.0608818189156138,0.0616173312173637,0.989632650029501,0.981962245791622,0.942639171251674,0.90805059398875,"completed","completed",FALSE,FALSE
"s1_anchor","atx_8608f2ed61cf","Pigeon Guillemot","conditional_positive_numeric_count","active_minus_pre14",0.017436446606554,0.0132710505557505,-0.00416539605080349,0.0389576693039718,0.0402765259525916,1.01758934883943,1.01335950179436,0.771927823788218,0.793531032670205,"completed","completed",FALSE,FALSE
"s1_anchor","atx_86eda7ed9025","Red-necked Grebe","checklist_reporting","active_minus_pre14",0.0621339130888658,0.060900819220703,-0.00123309386816279,0.0460434415465784,0.0466149539042269,1.06410483275235,1.06279350027218,0.327116954752718,0.308523778955522,"completed","completed",FALSE,FALSE
"s1_anchor","atx_86eda7ed9025","Red-necked Grebe","conditional_positive_numeric_count","active_minus_pre14",0.017734380565109,0.0289570183208736,0.0112226377557646,0.0307947326364162,0.0313818377493138,1.01789256842977,1.0293803490284,0.702046394985908,0.481845956582565,"completed","completed",FALSE,FALSE
"s1_anchor","atx_87b306550dba","Harlequin Duck","checklist_reporting","active_minus_pre14",0.140002536658416,0.141310764503657,0.00130822784524129,0.0473032457539805,0.0477121959182931,1.15027671671264,1.15178252549891,0.0134381384326743,0.013348946849282,"completed","completed",FALSE,FALSE
"s1_anchor","atx_87b306550dba","Harlequin Duck","conditional_positive_numeric_count","active_minus_pre14",0.184587097561528,0.192218124413856,0.00763102685232775,0.0232612018548366,0.0234522982288479,1.20272173085304,1.21193484071288,1.93022095576243e-14,2.28386682884792e-15,"completed","completed",FALSE,FALSE
"s1_anchor","atx_98ca0000b734","Brandt's Cormorant","checklist_reporting","active_minus_pre14",-0.00920227665638125,0.0161062257600517,0.025308502416433,0.0784217305486456,0.0796978553890076,0.990839934711987,1.01623663018117,0.946004757190418,0.90805059398875,"completed","completed",TRUE,FALSE
"s1_anchor","atx_98ca0000b734","Brandt's Cormorant","conditional_positive_numeric_count","active_minus_pre14",0.0256883172964088,0.0459951083641969,0.0203067910677881,0.0704650278128866,0.0715280482055193,1.02602110559915,1.04706928906279,0.802693556038634,0.639477626605093,"completed","completed",FALSE,FALSE
"s1_anchor","atx_99238953638b","Bufflehead","checklist_reporting","active_minus_pre14",-0.0591206638669476,-0.061701002989512,-0.00258033912256438,0.0286526562811337,0.0285471059350176,0.942593025375456,0.940163950981031,0.110339875065313,0.0865874217167362,"completed","completed",FALSE,FALSE
"s1_anchor","atx_99238953638b","Bufflehead","conditional_positive_numeric_count","active_minus_pre14",0.113742308961158,0.112836941064109,-0.000905367897048898,0.0138977949172944,0.0138140987386583,1.1204633543132,1.11944938184071,3.15240837869813e-15,2.39896375016722e-15,"completed","completed",FALSE,FALSE
"s1_anchor","atx_9ae1aa9b7fdf","Common Loon","checklist_reporting","active_minus_pre14",-0.0603874242193983,-0.0633617454694581,-0.00297432125005979,0.0376044230852161,0.0376950412875012,0.941399741864104,0.938603876569012,0.226027324179586,0.193631090063235,"completed","completed",FALSE,FALSE
"s1_anchor","atx_9ae1aa9b7fdf","Common Loon","conditional_positive_numeric_count","active_minus_pre14",0.0440614318676406,0.0562060134282531,0.0121445815606125,0.0183225238258899,0.0184152570652618,1.04504655207801,1.05781558550572,0.0413558003378026,0.00653237926033317,"completed","completed",FALSE,FALSE
"s1_anchor","atx_a113baee5693","American Wigeon","checklist_reporting","active_minus_pre14",0.100389607245839,0.0950066288449567,-0.00538297840088227,0.0302627849219098,0.0300478111743038,1.10560158456316,1.09966614461832,0.00436339698500843,0.00752501110916733,"completed","completed",FALSE,FALSE
"s1_anchor","atx_a113baee5693","American Wigeon","conditional_positive_numeric_count","active_minus_pre14",0.0549120928601792,0.0659568797337884,0.0110447868736092,0.0238817919853752,0.0234086528724121,1.05644774129413,1.06818065593867,0.0520193998101351,0.0124543119611823,"completed","completed",FALSE,TRUE
"s1_anchor","atx_a444854c6b66","Double-crested Cormorant","checklist_reporting","active_minus_pre14",0.0291821950468484,0.00970225029941918,-0.0194799447474292,0.034997993736297,0.0346484181186554,1.02961216762428,1.00974946971784,0.570889015616783,0.90805059398875,"completed","completed",FALSE,FALSE
"s1_anchor","atx_a444854c6b66","Double-crested Cormorant","conditional_positive_numeric_count","active_minus_pre14",0.0919497034097453,0.096547411382747,0.00459770797300174,0.0224704849478311,0.0222492197437051,1.09630968005533,1.10136179699167,0.000163924576524155,5.47772524931234e-05,"completed","completed",FALSE,FALSE
"s1_anchor","atx_aa5353f6d6d2","Iceland Gull","checklist_reporting","active_minus_pre14",0.25534451023392,0.2813774471632,0.0260329369292802,0.0461530572776991,0.0466098564469424,1.29090627469726,1.32495360954777,5.04947711878446e-07,2.5141811465937e-08,"completed","completed",FALSE,FALSE
"s1_anchor","atx_aa5353f6d6d2","Iceland Gull","conditional_positive_numeric_count","active_minus_pre14",0.132341263192259,0.204900714755,0.0725594515627406,0.0515040632207538,0.0523879634975489,1.1414978039896,1.22740319588636,0.0275557361574524,0.000301733916150504,"completed","completed",FALSE,FALSE
"s1_anchor","atx_acf526bb8010","Marbled Murrelet","checklist_reporting","active_minus_pre14",-0.0669764033809322,-0.0432686787482038,0.0237077246327284,0.103343662464626,0.103541940860846,0.935217269042057,0.957654054205744,0.670604342596355,0.90805059398875,"completed","completed",FALSE,FALSE
"s1_anchor","atx_acf526bb8010","Marbled Murrelet","conditional_positive_numeric_count","active_minus_pre14",0.0731899390375741,0.0716657064148049,-0.00152423262276916,0.0704859622371696,0.0755043294680496,1.07593487954328,1.07429615371686,0.476126592641651,0.478534903653249,"completed","completed",FALSE,FALSE
"s1_anchor","atx_b3d3ea90f9cb","Canada Goose","checklist_reporting","active_minus_pre14",-0.00862795454176242,-0.00669366639738695,0.00193428814437547,0.027097090974636,0.0269702922885501,0.991409159442069,0.993328686285924,0.857342627397333,0.90805059398875,"completed","completed",FALSE,FALSE
"s1_anchor","atx_b3d3ea90f9cb","Canada Goose","conditional_positive_numeric_count","active_minus_pre14",0.0422335334105438,0.0420486777835096,-0.000184855627034151,0.0189460570212354,0.0187813552223205,1.04313805789605,1.04294524577803,0.0565234208539867,0.0578807347671999,"completed","completed",FALSE,FALSE
"s1_anchor","atx_c12b832d2b03","California Gull","checklist_reporting","active_minus_pre14",0.274129802290556,0.291290272374968,0.0171604700844121,0.0418271116518431,0.0419962296482961,1.31538553121289,1.33815295641714,1.34547924276646e-09,9.67337109599651e-11,"completed","completed",FALSE,FALSE
"s1_anchor","atx_c12b832d2b03","California Gull","conditional_positive_numeric_count","active_minus_pre14",0.137627265589302,0.177957952810347,0.0403306872210446,0.0409680571661893,0.0414361911880445,1.14754774001871,1.19477508324411,0.00276416168841378,6.18851315128324e-05,"completed","completed",FALSE,FALSE
"s1_anchor","atx_c2d1fbbaf6d3","Red-breasted Merganser","checklist_reporting","active_minus_pre14",-0.00857060762958761,-0.0206398709172058,-0.0120692632876182,0.0385347408906927,0.0386076247566472,0.991466015326304,0.979571673303549,0.919805905749992,0.83706674637863,"completed","completed",FALSE,FALSE
"s1_anchor","atx_c2d1fbbaf6d3","Red-breasted Merganser","conditional_positive_numeric_count","active_minus_pre14",0.120334268276824,0.129960228250887,0.00962595997406285,0.0282553152345713,0.0282248236948883,1.12787380100669,1.13878309102856,8.59405255566222e-05,1.90222175679277e-05,"completed","completed",FALSE,FALSE
"s1_anchor","atx_c34f23342a55","Pacific Loon","checklist_reporting","active_minus_pre14",-0.0653232331257248,-0.0816585174202203,-0.0163352842944955,0.051747959969191,0.052363676625323,0.936764621079169,0.921586610742522,0.367695042933349,0.219489215456277,"completed","completed",FALSE,FALSE
"s1_anchor","atx_c34f23342a55","Pacific Loon","conditional_positive_numeric_count","active_minus_pre14",0.145567611611047,0.155059550248253,0.00949193863720649,0.0562690273163306,0.0560944436590399,1.15669593801429,1.16772749749702,0.0275557361574524,0.0138126616771523,"completed_with_convergence_warning","completed",FALSE,FALSE
"s1_anchor","atx_c9db024faf12","American Crow","checklist_reporting","active_minus_pre14",0.0242508708268168,0.0343751077928536,0.0101242369660368,0.0248201929854989,0.0247375666854426,1.02454731468472,1.03497276027163,0.508704604764138,0.28226231123441,"completed","completed",FALSE,FALSE
"s1_anchor","atx_c9db024faf12","American Crow","conditional_positive_numeric_count","active_minus_pre14",0.00802244685238313,0.0108656549037497,0.00284320805136652,0.0124082122270762,0.0121418118709769,1.00805471290565,1.01092490051836,0.680704773653228,0.487393473305239,"completed","completed",FALSE,FALSE
"s1_anchor","atx_d002764a39e8","Lesser Scaup","checklist_reporting","active_minus_pre14",0.232836335714045,0.257838357682109,0.0250020219680645,0.0661033031528695,0.0652695453074656,1.26217488947,1.29412961560595,0.00228161775534749,0.000468197696598626,"completed","completed",FALSE,FALSE
"s1_anchor","atx_d002764a39e8","Lesser Scaup","conditional_positive_numeric_count","active_minus_pre14",0.0847311271662611,0.0350949747644242,-0.0496361524018369,0.062252005844645,0.0603442941448409,1.0884243796051,1.0357180712084,0.306930551311193,0.66151572149065,"completed","completed",FALSE,FALSE
"s1_anchor","atx_d7dd9536145c","Barrow's Goldeneye","checklist_reporting","active_minus_pre14",0.0512408005838287,0.0396386488781012,-0.0116021517057275,0.0428355640052509,0.0420358595124453,1.05257632376216,1.04043474399501,0.395917766159165,0.518542648360724,"completed","completed",FALSE,FALSE
"s1_anchor","atx_d7dd9536145c","Barrow's Goldeneye","conditional_positive_numeric_count","active_minus_pre14",0.0949054344736054,0.0445212906845442,-0.0503841437890612,0.0416416658921865,0.0399776076478961,1.09955487022438,1.04552723646407,0.0521208626686396,0.421022011698159,"completed","completed",FALSE,FALSE
"s1_anchor","atx_e0e678a61ad7","Short-billed Gull","checklist_reporting","active_minus_pre14",0.223751605336081,0.240304570698171,0.0165529653620895,0.0335759207126769,0.0333331361583564,1.25076029865524,1.27163639453129,1.27863966180429e-09,2.70191568459478e-11,"completed","completed",FALSE,FALSE
"s1_anchor","atx_e0e678a61ad7","Short-billed Gull","conditional_positive_numeric_count","active_minus_pre14",0.262176582277994,0.275251859389461,0.0130752771114673,0.0285699637397326,0.0286322651525176,1.29975603604821,1.31686229723895,1.02282689923671e-18,1.61527221031249e-20,"completed","completed",FALSE,FALSE
"s1_anchor","atx_ebf17f77fb66","Western Grebe","checklist_reporting","active_minus_pre14",-0.264085044550445,-0.268820973168444,-0.00473592861799899,0.117772984635889,0.119816550989552,0.767908230469407,0.764280070040471,0.0798096623456756,0.0745735458640298,"completed","completed",FALSE,FALSE
"s1_anchor","atx_ebf17f77fb66","Western Grebe","conditional_positive_numeric_count","active_minus_pre14",0.111248546375569,0.0826673429796379,-0.0285812033959311,0.178424775734405,0.180388729958412,1.1176726658252,1.08618042289978,0.680996049081459,0.708351904111296,"completed","completed",FALSE,FALSE
"s1_anchor","atx_fadb8da1a816","Bonaparte's Gull","checklist_reporting","active_minus_pre14",0.392652922068867,0.394194024344814,0.00154110227594734,0.0971740197761988,0.0980196205977533,1.48090431091735,1.48318829539617,0.000321095707698144,0.000396400250738774,"completed","completed",FALSE,FALSE
"s1_anchor","atx_fadb8da1a816","Bonaparte's Gull","conditional_positive_numeric_count","active_minus_pre14",0.150675829331046,0.212654685451766,0.0619788561207199,0.148575405750638,0.156563429890503,1.16261970977827,1.23695743808747,0.476126592641651,0.30851756575592,"completed","completed",FALSE,FALSE
"s1_anchor","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting","active_minus_pre14",0.0402408996766001,0.0624689092285384,0.0222280095519383,0.0239716857756079,0.0238759678499797,1.04106153537422,1.0644613634784,0.203374973279404,0.030467751749705,"completed","completed",FALSE,TRUE
"s1_anchor","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count","active_minus_pre14",0.0607002860305954,0.0755312455124571,0.0148309594818617,0.00828090570019805,0.00826892578588056,1.06258039626907,1.07845692413088,1.76252229644815e-12,1.00896543186771e-18,"completed","completed",FALSE,FALSE
"s1_anchor","atx_v2_000002","Black Oystercatcher","checklist_reporting","active_minus_pre14",-0.0394852625153214,-0.0468217566878283,-0.00733649417250685,0.0421724808224419,0.0424642385754599,0.961284120796209,0.954257472445121,0.523693341358451,0.418364716034358,"completed","completed",FALSE,FALSE
"s1_anchor","atx_v2_000002","Black Oystercatcher","conditional_positive_numeric_count","active_minus_pre14",-0.00730913121653948,-0.00458082177342897,0.00272830944311051,0.0215337765310852,0.0217840895331059,0.992717515522004,0.995429654188355,0.804220814194581,0.871330820407924,"completed","completed",FALSE,FALSE
"s1_anchor","atx_v2_000003","Dunlin","checklist_reporting","active_minus_pre14",-0.0386944219854713,0.00754337751411038,0.0462377994995817,0.0561466710451594,0.0567770529810398,0.962044643926255,1.00757190046095,0.670604342596355,0.913332157946295,"completed","completed",TRUE,FALSE
"s1_anchor","atx_v2_000003","Dunlin","conditional_positive_numeric_count","active_minus_pre14",0.0152898168886663,-0.00547820848519507,-0.0207680253738614,0.0730800649512383,0.0737490892690382,1.01540730416149,0.99453676953552,0.872198095614585,0.961692590538087,"completed","completed",TRUE,FALSE
"s1_anchor","atx_v2_000006","Black-bellied Plover","checklist_reporting","active_minus_pre14",-0.0589773456905242,-0.026697782617565,0.0322795630729592,0.0647571375470927,0.065770947963627,0.942728125769902,0.973655452666535,0.527169282059606,0.90805059398875,"completed","completed",FALSE,FALSE
"s1_anchor","atx_v2_000006","Black-bellied Plover","conditional_positive_numeric_count","active_minus_pre14",-0.0376714992806947,-0.0304707343727337,0.00720076490796099,0.0562199606415391,0.0569736226800147,0.963029244734942,0.969988818983057,0.680273720586879,0.681689064882933,"completed","completed",FALSE,FALSE
"s1_anchor","atx_v2_000007","Common Raven","checklist_reporting","active_minus_pre14",-0.0591362405604375,-0.0687182107527538,-0.0095819701923163,0.02425881282042,0.0242724743351201,0.942578343007165,0.933589718559783,0.0506747575618012,0.0185543093992096,"completed","completed",FALSE,TRUE
