"model_version_id","analysis_taxon_id","unit_label","analysis_role","region","outcome","term","exposed_model_rows"
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_reference_early_pre",15466
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_near_immediate_pre",4586
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_reference_immediate_pre",15167
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_near_spawn_start",2991
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_reference_spawn_start",9758
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_near_early_egg",7017
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_reference_early_egg",22923
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_near_late_egg",8710
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_reference_late_egg",28651
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_baseline",1510
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_baseline",3174
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_early_pre",841
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_pre",1878
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_immediate_pre",851
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_immediate_pre",1751
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_spawn_start",567
