"outcome","row_coefficient","column_coefficient","covariance"
"detection","db_band_8_10_early_egg","db_band_6_8_baseline",-1.49879300675076e-06
"detection","db_band_10_12_early_egg","db_band_6_8_baseline",1.73200744416159e-06
"detection","db_band_12_14_early_egg","db_band_6_8_baseline",-7.58391766925585e-07
"detection","db_band_14_16_early_egg","db_band_6_8_baseline",2.26992832065117e-06
"detection","db_band_16_18_early_egg","db_band_6_8_baseline",-3.19527020640806e-07
"detection","db_band_18_20_early_egg","db_band_6_8_baseline",7.67022967266005e-07
"detection","db_band_20_22_early_egg","db_band_6_8_baseline",1.61914290704762e-06
"detection","db_band_22_24_early_egg","db_band_6_8_baseline",-5.58649671107625e-06
"detection","db_band_24_26_early_egg","db_band_6_8_baseline",5.57598657020759e-07
"detection","db_band_0_2_late_egg","db_band_6_8_baseline",-1.20450325425452e-06
"detection","db_band_2_4_late_egg","db_band_6_8_baseline",-6.45699877236184e-07
"detection","db_band_4_6_late_egg","db_band_6_8_baseline",-1.89485052615285e-06
"detection","db_band_6_8_late_egg","db_band_6_8_baseline",1.23954688148683e-05
"detection","db_band_8_10_late_egg","db_band_6_8_baseline",-1.74820122722636e-06
"detection","db_band_10_12_late_egg","db_band_6_8_baseline",1.07765634779247e-06
"detection","db_band_12_14_late_egg","db_band_6_8_baseline",-9.64592724417172e-07
"detection","db_band_14_16_late_egg","db_band_6_8_baseline",2.72900704880789e-06
"detection","db_band_16_18_late_egg","db_band_6_8_baseline",-2.17338326620701e-06
"detection","db_band_18_20_late_egg","db_band_6_8_baseline",-7.09467413426794e-07
"detection","db_band_20_22_late_egg","db_band_6_8_baseline",2.13100791397417e-07
"detection","db_band_22_24_late_egg","db_band_6_8_baseline",-3.84863474181093e-07
"detection","db_band_24_26_late_egg","db_band_6_8_baseline",-1.24013542249072e-06
"detection","db_band_0_2_baseline","db_band_8_10_baseline",-1.38346100911437e-05
"detection","db_band_2_4_baseline","db_band_8_10_baseline",-1.48464801860952e-05
"detection","db_band_4_6_baseline","db_band_8_10_baseline",-5.79734710337023e-05
"detection","db_band_6_8_baseline","db_band_8_10_baseline",-9.4603590071555e-05
"detection","db_band_8_10_baseline","db_band_8_10_baseline",0.000425800865862336
"detection","db_band_10_12_baseline","db_band_8_10_baseline",-8.09853310245971e-05
"detection","db_band_12_14_baseline","db_band_8_10_baseline",-6.56092065337895e-05
"detection","db_band_14_16_baseline","db_band_8_10_baseline",-1.5331446865786e-05
"detection","db_band_16_18_baseline","db_band_8_10_baseline",-6.65647785910096e-06
"detection","db_band_18_20_baseline","db_band_8_10_baseline",-1.75016043768267e-05
"detection","db_band_20_22_baseline","db_band_8_10_baseline",-1.81689909441953e-05
"detection","db_band_22_24_baseline","db_band_8_10_baseline",-1.16143524344125e-05
