"source_record_id","geometry_quality_tier","source_point_available","edge100_snap_distance_band","edge100_core_eligible","edge150_sensitivity_available","observed_length_available","actual_alongshore_geometry_constructed","safe_primary_complex_id","provisional_2km_7d_complex_id","antichain_complex_id","support_label"
"hsr_61af83ac844fbce1","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_61af83ac844fbce1","compl_395fff0cd1ca3c22","ac2_a59d1cf586dbe17e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_e26689b7bd52db2d","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_e26689b7bd52db2d","compl_395fff0cd1ca3c22","ac2_a59d1cf586dbe17e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_f5343b4293ee218b","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_f5343b4293ee218b","compl_395fff0cd1ca3c22","ac2_a59d1cf586dbe17e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_3483a54283e816c5","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_3483a54283e816c5","compl_81cef6a43829ab47","ac2_cc2a120e580cdc54","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_9a55cd9eca21f921","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_9a55cd9eca21f921","compl_ffa22be2f4ec2ae4","ac2_b9e380be6f3cc718","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_28e3898056913ec4","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_28e3898056913ec4","compl_ffa22be2f4ec2ae4","ac2_b9e380be6f3cc718","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_64c028e6ababb327","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_64c028e6ababb327","compl_ffa22be2f4ec2ae4","ac2_b9e380be6f3cc718","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_e9a65990da379f96","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_e9a65990da379f96","compl_395fff0cd1ca3c22","ac2_a59d1cf586dbe17e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_e36aa6a4437d7b0d","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_e36aa6a4437d7b0d","compl_395fff0cd1ca3c22","ac2_a59d1cf586dbe17e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_828515fe5ceb78d2","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_828515fe5ceb78d2","compl_85c5965f5edc3256","ac2_9f95dc312b2b5238","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
