"source_record_id","source_record","complex_1km_3d","complex_2km_7d","complex_5km_14d","support_label","complex_2km_7d_antichain"
"hsr_660ec5f4e667ec80","hsr_660ec5f4e667ec80","compl_1714ef27103263d2","compl_1714ef27103263d2","compl_1714ef27103263d2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_6ef2da5263655088"
"hsr_3bfd9fcb5e689397","hsr_3bfd9fcb5e689397","compl_1714ef27103263d2","compl_1714ef27103263d2","compl_1714ef27103263d2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_6ef2da5263655088"
"hsr_82ea6a762fff31a1","hsr_82ea6a762fff31a1","compl_83cf816245831d39","compl_1714ef27103263d2","compl_1714ef27103263d2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_6ef2da5263655088"
"hsr_d7cb899842ac5fa6","hsr_d7cb899842ac5fa6","compl_743961c35f0f921a","compl_1714ef27103263d2","compl_1714ef27103263d2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_6ef2da5263655088"
"hsr_a3b9ec70018fb0db","hsr_a3b9ec70018fb0db","compl_4258145b66dfb4aa","compl_83cf816245831d39","compl_83cf816245831d39","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c62a8c9af49a2dca"
"hsr_c87763c165259d83","hsr_c87763c165259d83","compl_0ac7c1cf9217ada7","compl_83cf816245831d39","compl_83cf816245831d39","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c62a8c9af49a2dca"
"hsr_46ab8eba03502ec3","hsr_46ab8eba03502ec3","compl_77c768415f9ebbe9","compl_83cf816245831d39","compl_83cf816245831d39","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c62a8c9af49a2dca"
"hsr_af4da4a26d553ed7","hsr_af4da4a26d553ed7","compl_0ac7c1cf9217ada7","compl_83cf816245831d39","compl_83cf816245831d39","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c62a8c9af49a2dca"
"hsr_912ca7c31c2fee91","hsr_912ca7c31c2fee91","compl_0ac7c1cf9217ada7","compl_83cf816245831d39","compl_83cf816245831d39","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c62a8c9af49a2dca"
"hsr_96ef2872eee8f70a","hsr_96ef2872eee8f70a","compl_0ac7c1cf9217ada7","compl_83cf816245831d39","compl_83cf816245831d39","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c62a8c9af49a2dca"
"hsr_1dcb45aadd1cc6e4","hsr_1dcb45aadd1cc6e4","compl_0ac7c1cf9217ada7","compl_83cf816245831d39","compl_83cf816245831d39","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c62a8c9af49a2dca"
"hsr_cddd441fc2bdc809","hsr_cddd441fc2bdc809","compl_9099a8b19cac4979","compl_9099a8b19cac4979","compl_9099a8b19cac4979","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_19c83e1b5700dac8"
"hsr_0339053924b24c46","hsr_0339053924b24c46","compl_006075e6898f05dd","compl_006075e6898f05dd","compl_006075e6898f05dd","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_95958fd4a84765f4"
"hsr_273aeab8355853a9","hsr_273aeab8355853a9","compl_3dfa585bf5a8c33c","compl_3dfa585bf5a8c33c","compl_9099a8b19cac4979","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_37a4c3294dafbbee"
"hsr_ff8805b17a750e7a","hsr_ff8805b17a750e7a","compl_57b65de4f1c609e2","compl_9099a8b19cac4979","compl_9099a8b19cac4979","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_19c83e1b5700dac8"
"hsr_f90825dbc8555b29","hsr_f90825dbc8555b29","compl_2217d6031a46103d","compl_9099a8b19cac4979","compl_9099a8b19cac4979","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_19c83e1b5700dac8"
"hsr_cf2674e24baedba8","hsr_cf2674e24baedba8","compl_b4d3325e66523cc1","compl_9099a8b19cac4979","compl_9099a8b19cac4979","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_19c83e1b5700dac8"
"hsr_0e76a55c755adda2","hsr_0e76a55c755adda2","compl_b4d3325e66523cc1","compl_9099a8b19cac4979","compl_9099a8b19cac4979","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_19c83e1b5700dac8"
"hsr_3a8c8c2e4827a516","hsr_3a8c8c2e4827a516","compl_56de52743a9dc43c","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_ad24f4650a1fd0cf","hsr_ad24f4650a1fd0cf","hsr_ad24f4650a1fd0cf","hsr_ad24f4650a1fd0cf","hsr_ad24f4650a1fd0cf","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_6a63999e6d4fc026"
"hsr_e5382b2b008faf77","hsr_e5382b2b008faf77","hsr_e5382b2b008faf77","hsr_e5382b2b008faf77","hsr_e5382b2b008faf77","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_741744dfb204e1f4"
"hsr_b7e4e82cbc909cd3","hsr_b7e4e82cbc909cd3","compl_56de52743a9dc43c","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_38576d7abc250657","hsr_38576d7abc250657","compl_56de52743a9dc43c","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_a96b3ccf6e48e3ff","hsr_a96b3ccf6e48e3ff","compl_92d4c5a2f6fb3a73","compl_2217d6031a46103d","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_a3baad01f159f4e3"
"hsr_2c95d2af2699487e","hsr_2c95d2af2699487e","compl_92d4c5a2f6fb3a73","compl_2217d6031a46103d","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_a3baad01f159f4e3"
"hsr_9a85977b25cf7742","hsr_9a85977b25cf7742","compl_612b5497aabf0a3f","compl_b4d3325e66523cc1","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8c55dea4193802ab"
"hsr_e33713b1593f195b","hsr_e33713b1593f195b","compl_7a527efb9b1d5458","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
