"analysis_taxon_id_1","common_name_1","analysis_taxon_id_2","common_name_2","species_1_detections","species_2_detections","n11","shared_events","n10","n01","n00","suppressed_below_20","record_type","exposure_specific_association_computed","eligible_checklists","richness_q0","richness_q25","richness_q50","richness_q75","richness_q100","support_label"
"atx_1930f23cc4f8","Surf Scoter","atx_a113baee5693","American Wigeon",23066,43079,7599,1913,15467,35480,203793,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_7d980a7c8c37","Northern Pintail",23066,18912,2885,1391,20181,16027,223246,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_8608f2ed61cf","Pigeon Guillemot",23066,9026,4626,1994,18440,4400,234873,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_6cbe5bbd310c","Rhinoceros Auklet",23066,3044,1799,1549,21267,1245,238028,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_136b0e66254b","Common Murre",23066,3322,2287,1640,20779,1035,238238,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_acf526bb8010","Marbled Murrelet",23066,5279,3064,1929,20002,2215,237058,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_eeefc021901e","Gadwall",23066,17150,851,1045,22215,16299,222974,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_8f0345249398","Northern Shoveler",23066,13853,696,1108,22370,13157,226116,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_04afbeb21fb0","Hooded Merganser",23066,24754,2428,1819,20638,22326,216947,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_3c2dd2107fbb","Clark's Grebe",23066,4,,,23063,1,239272,TRUE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
