"analysis_taxon_id","dimension","candidate_id","common_name","eligible_checklists","detections","positive_numeric_reports","X_reports","lower_bound_reports","ambiguity_affected_reports","years","locations","observers","positive_count_q50","positive_count_q90","positive_count_q99","represented_events","represented_event_complexes","positive_numeric_events","regions","maximum_event_share","maximum_observer_share","maximum_location_share","support_label","primary_period_one_detections","primary_period_two_detections","numeric_availability","core_named_eligible","exploratory_named_eligible","guild_community_eligible","positive_count_eligible","named_species_recommendation","guild_recommendation","community_recommendation","count_recommendation","cooccurrence_recommendation","recommendation_reason","specificity_panel_interpretation"
"atx_35707a9578d5","pooled","frozen_event_linked_frame","Pelagic Cormorant",262339,24918,24531,368,0,19,37,3150,2527,2,12,52,2504,1471,2462,8,0.06806,0.03455,0.07159,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",6857,7488,0.98447,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=24918;events=2504;years=37;period_support_checked;concentration_checked;count_state_preserved",
"atx_3c2dd2107fbb","pooled","frozen_event_linked_frame","Clark's Grebe",262339,4,4,0,0,0,3,3,4,1,1,1,5,5,5,2,0.5,0.25,0.5,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",3,0,1,FALSE,FALSE,FALSE,FALSE,"retain_registry_sparse_not_named","retain_with_partial_pooling_support_warning","retain_registry_not_in_reduced_set","detection_component_only_or_bounded_sensitivity","not_in_reduced_pairwise_set","detections=4;events=5;years=3;period_support_checked;concentration_checked;count_state_preserved",
"atx_40f730f5ad72","pooled","frozen_event_linked_frame","Long-tailed Duck",262339,3965,3816,135,0,14,30,840,660,4,47,1000,1462,903,1428,6,0.04691,0.04691,0.06532,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",1730,1304,0.96242,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=3965;events=1462;years=30;period_support_checked;concentration_checked;count_state_preserved",
"atx_4ae57d328ec6","pooled","frozen_event_linked_frame","Greater Scaup",262339,6373,6078,287,0,8,34,987,1054,6,150,2000,1694,1063,1657,6,0.08426,0.03311,0.06826,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",2416,2446,0.95371,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=6373;events=1694;years=34;period_support_checked;concentration_checked;count_state_preserved",
"atx_59441ff7abde","pooled","frozen_event_linked_frame","Brant",262339,4601,4431,158,0,12,33,700,910,25,250,1077,1363,868,1340,6,0.07303,0.04216,0.07781,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",1587,2070,0.96305,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=4601;events=1363;years=33;period_support_checked;concentration_checked;count_state_preserved",
"atx_5a9a3495d0ea","pooled","frozen_event_linked_frame","Western Gull",262339,1170,1146,24,0,0,26,312,371,1,3,12,1017,679,1004,5,0.13761,0.10598,0.16496,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",379,392,0.97949,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=1170;events=1017;years=26;period_support_checked;concentration_checked;count_state_preserved",
"atx_6b4cfd1ab927","pooled","frozen_event_linked_frame","Horned Grebe",262339,16696,16401,279,0,16,37,2320,1523,3,11,47,2192,1305,2153,8,0.0442,0.02605,0.04486,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",5877,5167,0.98233,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=16696;events=2192;years=37;period_support_checked;concentration_checked;count_state_preserved",
"atx_6cbe5bbd310c","pooled","frozen_event_linked_frame","Rhinoceros Auklet",262339,3044,3020,22,0,2,27,628,583,3,37,232,1724,1060,1712,7,0.18101,0.09855,0.10414,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",489,743,0.99212,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=3044;events=1724;years=27;period_support_checked;concentration_checked;count_state_preserved",
"atx_725074cbfcb6","pooled","frozen_event_linked_frame","Glaucous-winged Gull",262339,107489,101896,5538,0,55,38,10388,4281,5,38,300,3117,1789,3073,8,0.06437,0.02084,0.03061,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",28741,28975,0.94797,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=107489;events=3117;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_7571c026ae99","pooled","frozen_event_linked_frame","American Herring Gull",262339,3040,2903,127,0,10,29,809,728,2,10,60,1665,1051,1645,7,0.03783,0.08849,0.04507,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",1248,1429,0.95493,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=3040;events=1665;years=29;period_support_checked;concentration_checked;count_state_preserved",
"atx_7b80ddaff058","pooled","frozen_event_linked_frame","Great Blue Heron",262339,58327,57241,1064,0,22,38,5429,4400,2,8,31,2464,1451,2434,7,0.06926,0.01156,0.05205,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",13731,15627,0.98138,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=58327;events=2464;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_7d980a7c8c37","pooled","frozen_event_linked_frame","Northern Pintail",262339,18912,17487,1411,0,14,32,1554,2233,8,60,493,1430,909,1375,6,0.09555,0.01454,0.13309,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",6564,6410,0.92465,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=18912;events=1430;years=32;period_support_checked;concentration_checked;count_state_preserved",
"atx_815c98107028","pooled","frozen_event_linked_frame","Mallard",262339,99307,93790,5455,0,62,38,7975,4730,10,71,350,2441,1481,2403,7,0.06888,0.01325,0.03916,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",27030,29664,0.94445,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=99307;events=2441;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_82312e6f2848","pooled","frozen_event_linked_frame","Common Goldeneye",262339,25692,25005,673,0,14,38,3018,2247,4,20,100,2149,1316,2133,6,0.07481,0.02121,0.10069,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",10834,7884,0.97326,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=25692;events=2149;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_8608f2ed61cf","pooled","frozen_event_linked_frame","Pigeon Guillemot",262339,9026,8936,81,0,9,35,1770,1355,2,10,66,2346,1387,2326,8,0.08221,0.03479,0.03745,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",1914,2495,0.99003,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=9026;events=2346;years=35;period_support_checked;concentration_checked;count_state_preserved",
"atx_86eda7ed9025","pooled","frozen_event_linked_frame","Red-necked Grebe",262339,11458,11289,158,0,11,35,1926,1138,2,12,58,2285,1345,2250,8,0.05856,0.03447,0.02714,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",3289,3764,0.98525,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=11458;events=2285;years=35;period_support_checked;concentration_checked;count_state_preserved",
"atx_87b306550dba","pooled","frozen_event_linked_frame","Harlequin Duck",262339,14480,14248,223,0,9,36,2037,1733,5,20,105,2187,1267,2173,7,0.07113,0.023,0.07521,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",4753,4156,0.98398,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=14480;events=2187;years=36;period_support_checked;concentration_checked;count_state_preserved",
"atx_8f0345249398","pooled","frozen_event_linked_frame","Northern Shoveler",262339,13853,12865,973,0,15,33,1008,1898,6,50,225,1147,752,1104,6,0.12806,0.01689,0.16783,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",3569,4092,0.92868,TRUE,TRUE,TRUE,TRUE,"separate_falsification_panel","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=13853;events=1147;years=33;period_support_checked;concentration_checked;count_state_preserved","specificity_and_falsification_panel_not_guaranteed_biological_nonresponders"
"atx_98ca0000b734","pooled","frozen_event_linked_frame","Brandt's Cormorant",262339,4674,4608,58,0,8,33,1056,761,3,35,474,1711,1030,1674,7,0.0751,0.09371,0.08515,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",1438,1463,0.98588,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=4674;events=1711;years=33;period_support_checked;concentration_checked;count_state_preserved",
"atx_99238953638b","pooled","frozen_event_linked_frame","Bufflehead",262339,60643,58956,1646,0,41,38,5445,3523,6,27,113,2581,1504,2549,7,0.06302,0.0128,0.04884,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",21513,19681,0.97218,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=60643;events=2581;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_9ae1aa9b7fdf","pooled","frozen_event_linked_frame","Common Loon",262339,20865,20533,308,0,24,37,3068,1887,2,6,21,2690,1539,2669,8,0.03585,0.03192,0.08598,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",5507,6059,0.98409,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=20865;events=2690;years=37;period_support_checked;concentration_checked;count_state_preserved",
"atx_a113baee5693","pooled","frozen_event_linked_frame","American Wigeon",262339,43079,40463,2579,0,37,37,3684,3172,12,80,350,1987,1194,1942,6,0.08744,0.01339,0.05678,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",14997,14028,0.93927,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=43079;events=1987;years=37;period_support_checked;concentration_checked;count_state_preserved",
"atx_a444854c6b66","pooled","frozen_event_linked_frame","Double-crested Cormorant",262339,35338,34659,661,0,18,36,3594,2881,2,11,55,2172,1306,2136,7,0.07966,0.01774,0.05586,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",10312,10290,0.98079,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=35338;events=2172;years=36;period_support_checked;concentration_checked;count_state_preserved",
"atx_aa5353f6d6d2","pooled","frozen_event_linked_frame","Iceland Gull",262339,2238,2142,94,0,2,13,548,383,3,100,648,771,495,771,6,0.05719,0.09562,0.05585,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",917,784,0.9571,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=2238;events=771;years=13;period_support_checked;concentration_checked;count_state_preserved",
"atx_acf526bb8010","pooled","frozen_event_linked_frame","Marbled Murrelet",262339,5279,5235,36,0,8,33,1309,751,2,12,89,2233,1327,2205,8,0.0322,0.09093,0.06573,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",878,1081,0.99167,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=5279;events=2233;years=33;period_support_checked;concentration_checked;count_state_preserved",
"atx_b3d3ea90f9cb","pooled","frozen_event_linked_frame","Canada Goose",262339,81438,77922,3462,0,54,38,7521,4698,7,50,210,2404,1436,2381,8,0.06921,0.01351,0.03282,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",19401,23832,0.95683,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=81438;events=2404;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_c12b832d2b03","pooled","frozen_event_linked_frame","California Gull",262339,9499,9018,468,0,13,34,1567,1153,4,70,1000,1845,1131,1778,7,0.04221,0.06359,0.03306,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",2964,4151,0.94936,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=9499;events=1845;years=34;period_support_checked;concentration_checked;count_state_preserved",
"atx_c2d1fbbaf6d3","pooled","frozen_event_linked_frame","Red-breasted Merganser",262339,17592,17239,336,0,17,36,2580,1768,3,18,80,2126,1281,2093,7,0.06986,0.02683,0.03621,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",6100,5226,0.97993,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=17592;events=2126;years=36;period_support_checked;concentration_checked;count_state_preserved",
"atx_c34f23342a55","pooled","frozen_event_linked_frame","Pacific Loon",262339,9164,8977,174,0,13,35,1675,1059,4,63,927,2280,1353,2230,8,0.03306,0.07464,0.0467,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",2297,1996,0.97959,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=9164;events=2280;years=35;period_support_checked;concentration_checked;count_state_preserved",
"atx_c9db024faf12","pooled","frozen_event_linked_frame","American Crow",262339,138838,133656,5134,0,48,38,14112,5478,4,20,102,3131,1789,3108,8,0.07517,0.01932,0.03052,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",32690,38693,0.96268,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=138838;events=3131;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_d002764a39e8","pooled","frozen_event_linked_frame","Lesser Scaup",262339,11569,11022,540,0,7,30,918,1683,5,40,400,1211,765,1126,5,0.1077,0.01772,0.11565,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",3645,3831,0.95272,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=11569;events=1211;years=30;period_support_checked;concentration_checked;count_state_preserved",
"atx_d7dd9536145c","pooled","frozen_event_linked_frame","Barrow's Goldeneye",262339,13021,12663,346,0,12,31,1883,1717,6,50,210,1766,1075,1750,7,0.10806,0.03218,0.10452,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",5605,4473,0.97251,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=13021;events=1766;years=31;period_support_checked;concentration_checked;count_state_preserved",
"atx_e0e678a61ad7","pooled","frozen_event_linked_frame","Short-billed Gull",262339,29650,28108,1524,0,18,38,3639,1950,7,80,800,2717,1590,2636,8,0.05926,0.02438,0.07052,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",10162,10080,0.94799,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=29650;events=2717;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_ebf17f77fb66","pooled","frozen_event_linked_frame","Western Grebe",262339,2039,2005,32,0,2,33,691,643,3,76,550,1634,1026,1607,6,0.0461,0.04365,0.04218,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",574,567,0.98333,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=2039;events=1634;years=33;period_support_checked;concentration_checked;count_state_preserved",
"atx_eeefc021901e","pooled","frozen_event_linked_frame","Gadwall",262339,17150,16389,747,0,14,32,1135,2032,4,19,50,1089,722,1053,6,0.0923,0.01376,0.13032,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",4183,4608,0.95563,TRUE,TRUE,TRUE,TRUE,"separate_falsification_panel","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=17150;events=1089;years=32;period_support_checked;concentration_checked;count_state_preserved","specificity_and_falsification_panel_not_guaranteed_biological_nonresponders"
"atx_fadb8da1a816","pooled","frozen_event_linked_frame","Bonaparte's Gull",262339,5141,5005,133,0,3,34,966,993,8,120,800,1689,1063,1635,5,0.07275,0.02723,0.06011,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",551,1756,0.97355,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=5141;events=1689;years=34;period_support_checked;concentration_checked;count_state_preserved",
"atx_fc0a9b777dcd","pooled","frozen_event_linked_frame","Bald Eagle",262339,105279,103960,1245,0,74,38,12266,5075,2,5,25,3325,1897,3303,8,0.04788,0.01842,0.02875,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",25432,28791,0.98747,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=105279;events=3325;years=38;period_support_checked;concentration_checked;count_state_preserved",
"atx_v2_000001","pooled","frozen_event_linked_frame","Eared Grebe",262339,437,435,2,0,0,16,99,231,1,2,3,327,248,327,3,0.28833,0.04348,0.24256,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",108,140,0.99542,FALSE,TRUE,TRUE,TRUE,"named_species_exploratory","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=437;events=327;years=16;period_support_checked;concentration_checked;count_state_preserved",
"atx_v2_000002","pooled","frozen_event_linked_frame","Black Oystercatcher",262339,18476,18281,179,0,16,35,2413,2154,2,8,23,2189,1302,2154,7,0.0728,0.04509,0.04666,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",4757,4602,0.98945,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=18476;events=2189;years=35;period_support_checked;concentration_checked;count_state_preserved",
"atx_v2_000003","pooled","frozen_event_linked_frame","Dunlin",262339,8961,8614,336,0,11,34,987,1352,20,300,3000,1602,1015,1572,7,0.06093,0.03538,0.07778,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",2421,2276,0.96128,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=8961;events=1602;years=34;period_support_checked;concentration_checked;count_state_preserved",
"atx_v2_000004","pooled","frozen_event_linked_frame","Sanderling",262339,1186,1166,17,0,3,23,196,397,7,80,300,709,477,709,5,0.08685,0.21079,0.11383,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",267,177,0.98314,FALSE,TRUE,TRUE,TRUE,"named_species_exploratory","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=1186;events=709;years=23;period_support_checked;concentration_checked;count_state_preserved",
"atx_v2_000005","pooled","frozen_event_linked_frame","Rock Sandpiper",262339,201,201,0,0,0,13,52,96,1,6,16,304,212,304,6,0.24378,0.11443,0.25373,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",100,48,1,FALSE,TRUE,TRUE,TRUE,"named_species_exploratory","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=201;events=304;years=13;period_support_checked;concentration_checked;count_state_preserved",
"atx_v2_000006","pooled","frozen_event_linked_frame","Black-bellied Plover",262339,5626,5475,145,0,6,31,697,924,5,30,162,1394,898,1371,6,0.06079,0.03537,0.07768,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",1570,1641,0.97316,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=5626;events=1394;years=31;period_support_checked;concentration_checked;count_state_preserved",
