"model_id","region","unit_class","outcome","fold","validation_view","prediction_support_rule","n_validation","n_validation_supported","n_validation_unsupported_factor_levels","privacy_suppressed","metric_1_name","metric_1","metric_2_name","metric_2","conditional_observer_or_location_BLUP_used","unit_label"
"M01","WCVI","guild","detection",3,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1962,1962,0,FALSE,"log_loss",0.631013730086135,"brier",0.220215878619958,FALSE,"intertidal_roe_shorebird"
"M01","WCVI","guild","detection",4,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1876,1876,0,FALSE,"log_loss",0.592994170881344,"brier",0.202886775141708,FALSE,"intertidal_roe_shorebird"
"M01","WCVI","guild","detection",1,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",3138,3138,0,FALSE,"log_loss",0.649316037113123,"brier",0.228773831812344,FALSE,"piscivore_active_spawn"
"M01","WCVI","guild","detection",2,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1608,1608,0,FALSE,"log_loss",0.698424457153873,"brier",0.250121404292366,FALSE,"piscivore_active_spawn"
"M01","WCVI","guild","detection",3,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1959,1959,0,FALSE,"log_loss",0.654032115161856,"brier",0.230106485296598,FALSE,"piscivore_active_spawn"
"M01","WCVI","guild","detection",4,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1875,1875,0,FALSE,"log_loss",0.666071198364963,"brier",0.235237731873933,FALSE,"piscivore_active_spawn"
"M01","WCVI","guild","detection",1,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",3137,3137,0,FALSE,"log_loss",0.603927993095168,"brier",0.206387546081043,FALSE,"roe_diving_seaduck"
"M01","WCVI","guild","detection",2,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1607,1607,0,FALSE,"log_loss",0.708523675394632,"brier",0.255056717639481,FALSE,"roe_diving_seaduck"
"M01","WCVI","guild","detection",3,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1957,1957,0,FALSE,"log_loss",0.626069602647468,"brier",0.217653202063887,FALSE,"roe_diving_seaduck"
"M01","WCVI","guild","detection",4,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1872,1872,0,FALSE,"log_loss",0.599020236154041,"brier",0.20467218560974,FALSE,"roe_diving_seaduck"
"M01","WCVI","guild","detection",1,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",3138,3138,0,FALSE,"log_loss",0.449683641470324,"brier",0.141935355210179,FALSE,"shoreline_scavenger"
"M01","WCVI","guild","detection",2,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1608,1608,0,FALSE,"log_loss",0.532962419939691,"brier",0.175354120588947,FALSE,"shoreline_scavenger"
"M01","WCVI","guild","detection",3,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1962,1962,0,FALSE,"log_loss",0.445053077580858,"brier",0.137595762668915,FALSE,"shoreline_scavenger"
"M01","WCVI","guild","detection",4,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1876,1876,0,FALSE,"log_loss",0.443776811561542,"brier",0.138704389063464,FALSE,"shoreline_scavenger"
"M01","WCVI","guild","detection",1,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",3138,3138,0,FALSE,"log_loss",0.42041513851607,"brier",0.128681695563525,FALSE,"surface_vegetation_roe"
"M01","WCVI","guild","detection",2,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1606,1606,0,FALSE,"log_loss",0.640766263093377,"brier",0.213610032886366,FALSE,"surface_vegetation_roe"
"M01","WCVI","guild","detection",3,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1962,1962,0,FALSE,"log_loss",0.439012341677719,"brier",0.136613798953755,FALSE,"surface_vegetation_roe"
"M01","WCVI","guild","detection",4,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1873,1873,0,FALSE,"log_loss",0.393089770197501,"brier",0.117198231816848,FALSE,"surface_vegetation_roe"
