"model_id","region","unit_class","outcome","fold","validation_view","prediction_support_rule","n_validation","n_validation_supported","n_validation_unsupported_factor_levels","privacy_suppressed","metric_1_name","metric_1","metric_2_name","metric_2","conditional_observer_or_location_BLUP_used"
"M02","NA","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2175,2053,122,FALSE,"log_loss",1.36263984882625,"brier",0.0771268508009051,FALSE
"M02","NA","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","NA","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",164,164,0,FALSE,"rmse_log",1.44433195681452,"mae_log",1.2096396831546,FALSE
"M02","NA","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","NA","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","SoG","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",46080,46080,0,FALSE,"log_loss",0.0669331022601703,"brier",0.0126983295277662,FALSE
"M02","SoG","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",55715,55466,249,FALSE,"log_loss",0.0385897372048489,"brier",0.00683359036840963,FALSE
"M02","SoG","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",57045,57045,0,FALSE,"log_loss",0.0374168763007382,"brier",0.00675840380787627,FALSE
"M02","SoG","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",58338,57210,1128,FALSE,"log_loss",0.0400716688772489,"brier",0.00681873909507095,FALSE
"M02","SoG","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",552,552,0,FALSE,"rmse_log",1.68762059213162,"mae_log",1.32960394858654,FALSE
"M02","SoG","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",321,286,35,FALSE,"rmse_log",1.57113603237218,"mae_log",1.30646721105688,FALSE
"M02","SoG","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",382,378,4,FALSE,"rmse_log",1.43348416251316,"mae_log",1.14581792084415,FALSE
"M02","SoG","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",429,386,43,FALSE,"rmse_log",1.60894736789888,"mae_log",1.2971709670607,FALSE
"M02","WCVI","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2163,1943,220,FALSE,"log_loss",0.0795252358499077,"brier",0.00788692444071338,FALSE
"M02","WCVI","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",1791,1791,0,FALSE,"log_loss",0.315711424486368,"brier",0.017310541821319,FALSE
"M02","WCVI","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2462,2313,149,FALSE,"log_loss",0.0730948123658017,"brier",0.0088980247018737,FALSE
"M02","WCVI","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2162,2162,0,FALSE,"log_loss",0.10441215670648,"brier",0.00694189730599726,FALSE
"M02","WCVI","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","WCVI","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","WCVI","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","WCVI","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","CC","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",211,147,64,FALSE,"log_loss",2.75706947290731e-06,"brier",8.1258616543794e-10,FALSE
"M02","CC","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",210,151,59,FALSE,"log_loss",1.8994385575809,"brier",0.246343012948486,FALSE
"M02","CC","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",220,139,81,FALSE,"log_loss",0.589414590036697,"brier",0.03597123339706,FALSE
"M02","CC","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",220,220,0,FALSE,"log_loss",8.16840258769768,"brier",0.458203468756659,FALSE
"M02","NA","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2106,2051,55,FALSE,"log_loss",0.259180298581789,"brier",0.0557974965261387,FALSE
