"analysis_taxon_id","species","period","zone","checklist_denominator","event_links","source_events","reported_checklists","reporting_proportion","finite_numeric_reports","unquantified_x_reports","lower_bound_reports","other_reported_states","finite_numeric_proportion_among_reports","x_proportion_among_reports","positive_finite_count_q25","positive_finite_count_median","positive_finite_count_q75","observed_unadjusted","suppressed_below_20"
"atx_35518e24dfdd","Common Merganser","early_pre","near",4512,7315,609,775,0.171764184397163,761,,0,,0.981935483870968,,1,3,5,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","early_pre","reference",15467,35784,907,2758,0.178315122518911,2718,40,0,0,0.985496736765772,0.0145032632342277,1,2,5,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","immediate_pre","near",4587,7367,607,877,0.191192500545019,860,,0,,0.980615735461802,,1,3,6,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","immediate_pre","reference",15169,35880,895,2724,0.179576768409256,2668,53,0,,0.979441997063142,0.0194566813509545,1,3,6,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","spawn_start","near",2992,4922,538,659,0.220254010695187,643,,0,,0.975720789074355,,2,4,9,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","spawn_start","reference",9759,21434,854,1758,0.18014140793114,1729,29,0,0,0.983503981797497,0.0164960182025028,2,3,6,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","early_egg","near",7018,12441,656,1252,0.178398404103733,1224,27,0,,0.977635782747604,0.0215654952076677,2,3,7,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","early_egg","reference",22927,59303,948,3398,0.148209534609849,3340,56,0,,0.982931135962331,0.0164802825191289,2,3,6,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","late_egg","near",8712,15748,680,1334,0.153122130394858,1318,,0,,0.988005997001499,,2,3,6,TRUE,FALSE
"atx_35518e24dfdd","Common Merganser","late_egg","reference",28655,76964,993,3629,0.126644564648403,3581,46,0,,0.986773215761918,0.012675668228162,2,3,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","baseline","near",8077,14559,654,1030,0.127522595022905,1008,22,0,0,0.978640776699029,0.0213592233009709,1,2,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","baseline","reference",25992,69546,948,2541,0.0977608494921514,2507,33,0,,0.986619441164896,0.012987012987013,1,2,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","early_pre","near",4512,7315,609,557,0.123448581560284,538,,0,,0.96588868940754,,1,2,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","early_pre","reference",15467,35784,907,1524,0.0985323592163962,1507,,0,,0.988845144356955,,1,2,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","immediate_pre","near",4587,7367,607,604,0.131676477000218,581,22,0,,0.961920529801324,0.0364238410596026,1,2,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","immediate_pre","reference",15169,35880,895,1527,0.100665831630299,1500,26,0,,0.982318271119843,0.0170268500327439,1,2,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","spawn_start","near",2992,4922,538,428,0.143048128342246,418,,0,0,0.976635514018692,,1,3,6.75,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","spawn_start","reference",9759,21434,854,1032,0.105748539809407,1014,,0,0,0.982558139534884,,1,2,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","early_egg","near",7018,12441,656,920,0.131091479053862,900,20,0,0,0.978260869565217,0.0217391304347826,1,3,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","early_egg","reference",22927,59303,948,2232,0.0973524665241855,2198,33,0,,0.984767025089606,0.0147849462365591,1,2,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","late_egg","near",8712,15748,680,931,0.106864095500459,916,,0,0,0.983888292158969,,1,3,5,TRUE,FALSE
"atx_35707a9578d5","Pelagic Cormorant","late_egg","reference",28655,76964,993,2581,0.0900715407433258,2543,38,0,0,0.985277024409144,0.0147229755908563,1,2,4,TRUE,FALSE
"atx_40f730f5ad72","Long-tailed Duck","baseline","near",8077,14559,654,399,0.0493995295282902,381,,0,0,0.954887218045113,,2,5,14,TRUE,FALSE
"atx_40f730f5ad72","Long-tailed Duck","baseline","reference",25992,69546,948,753,0.0289704524469067,721,31,0,,0.957503320053121,0.0411686586985392,2,5,13,TRUE,FALSE
"atx_40f730f5ad72","Long-tailed Duck","early_pre","near",4512,7315,609,245,0.0542996453900709,227,,0,0,0.926530612244898,,2,5,12,TRUE,FALSE
"atx_40f730f5ad72","Long-tailed Duck","early_pre","reference",15467,35784,907,522,0.0337492726449861,490,31,0,,0.938697318007663,0.0593869731800766,2,5,16,TRUE,FALSE
"atx_40f730f5ad72","Long-tailed Duck","immediate_pre","near",4587,7367,607,240,0.052321778940484,215,24,0,,0.895833333333333,0.1,2,6,25,TRUE,FALSE
