"analysis_version","analysis_taxon_id","species","outcome","comparison","primary_comparison","active_estimate","active_standard_error","pre_estimate","pre_standard_error","active_pre_covariance","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","full_covariance_used","status","multiplicity_family","sensitivity_id","sensitivity_q_value","primary_estimate","primary_standard_error","primary_conf_low","primary_conf_high","primary_ratio","primary_ratio_conf_low","primary_ratio_conf_high","primary_q_value","primary_status","estimate_difference_from_primary","direction_concordant","model_n","model_event_blocks","model_observer_clusters","model_generalized_locations","retained_checklists","retained_fraction","changed_component"
"editorial_requested_analysis_v1","atx_86eda7ed9025","Red-necked Grebe","checklist_reporting","active_minus_pre14",TRUE,-0.0739035240742804,0.12679896381619,-0.0355795561787739,0.131625227105658,0.0095573319538333,-0.0383239678955064,0.119534571266261,-0.272607422484815,0.195959486693802,0.96240110332117,0.761391634200711,1.21647762080565,0.748506028203377,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14","binary_any_link",0.878606157613763,0.0621339130888658,0.0460434415465784,-0.0281095740667031,0.152377400244435,1.06410483275235,0.972281824090747,1.16459967370655,0.327116954752718,"completed",-0.100457880984372,FALSE,217200,58,29248,22980,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_86eda7ed9025","Red-necked Grebe","checklist_reporting","active_minus_pre7",FALSE,-0.0739035240742804,0.12679896381619,0.150658331854647,0.157312361429541,0.00911150786368826,-0.224561855928927,0.150340082998585,-0.519223004038917,0.0700992921810625,0.798866160563147,0.59498266754402,1.07261467821781,0.135256007113068,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7","binary_any_link",0.361210299568002,0.00537284464478167,0.0576314045912321,-0.10758263273249,0.118328322022053,1.00538730425939,0.898002314999792,1.12561361444397,0.974989486003189,"completed",-0.229934700573709,FALSE,217200,58,29248,22980,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_86eda7ed9025","Red-necked Grebe","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0352105902788677,0.0885500532884374,0.00387384611472841,0.0908298498758624,0.00468434896525782,0.0313367441641393,0.0819907045666834,-0.129362083853624,0.192035572181903,1.03183290910041,0.878655760876766,1.21171361949556,0.702313954667228,8109,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14","binary_any_link",0.787961997919329,0.017734380565109,0.0307947326364162,-0.0426221863158069,0.0780909474460249,1.01789256842977,0.958273370474712,1.08122098848608,0.702046394985908,"completed",0.0136023635990303,TRUE,8109,53,2049,1275,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_86eda7ed9025","Red-necked Grebe","conditional_positive_numeric_count","active_minus_pre7",FALSE,0.0352105902788677,0.0885500532884374,-0.0395692568805353,0.108771251928369,0.00449858377167485,0.074779847159403,0.103320518969371,-0.127724648884552,0.277284343203358,1.07764687774612,0.880095681111549,1.31954152035971,0.469209593781552,8109,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7","binary_any_link",0.6348129798221,0.0469023945446094,0.0388457236828195,-0.0292338248271115,0.12303861391633,1.04801971164613,0.971189349733314,1.130928089667,0.402106282479216,"completed",0.0278774526147936,TRUE,8109,53,2049,1275,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_87b306550dba","Harlequin Duck","checklist_reporting","active_minus_pre14",TRUE,0.0937694271552618,0.130679359594121,-0.174248997250738,0.132429399728454,0.00955310790667143,0.268018424406,0.12453282749149,0.0239385676297401,0.51209828118226,1.30737122733132,1.02422739524132,1.66878911264729,0.0313823180678514,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14","binary_any_link",0.0941469542035542,0.140002536658416,0.0473032457539805,0.0472898786287665,0.232715194688065,1.15027671671264,1.04842588129133,1.26202199756985,0.0134381384326743,"completed",0.128015887747584,TRUE,217200,58,29248,22980,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_87b306550dba","Harlequin Duck","checklist_reporting","active_minus_pre7",FALSE,0.0937694271552618,0.130679359594121,-0.134421413452114,0.158043267894288,0.0093462814400425,0.228190840607376,0.15284700412684,-0.0713837826260752,0.527765463840827,1.25632506039362,0.931104481824861,1.69514022129894,0.135453862338001,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7","binary_any_link",0.361210299568002,0.16830887725491,0.0572369505870077,0.0561265155194762,0.280491238990344,1.18330204929578,1.05773149472137,1.32377994496272,0.0174728553032096,"completed",0.059881963352466,TRUE,217200,58,29248,22980,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_87b306550dba","Harlequin Duck","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.408531331228374,0.0631472462358063,-0.0706504369635285,0.0629216675294453,0.00210625835521783,0.479181768191902,0.0611080538179376,0.359412183543409,0.598951352840395,1.61475261954881,1.43248712752209,1.82020904219228,4.45023951179718e-15,12030,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14","binary_any_link",6.82370058475568e-14,0.184587097561528,0.0232612018548366,0.138995979688932,0.230178215434124,1.20272173085304,1.14911948017655,1.25882433186486,1.93022095576243e-14,"completed",0.294594670630374,TRUE,12030,56,2980,1529,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_87b306550dba","Harlequin Duck","conditional_positive_numeric_count","active_minus_pre7",FALSE,0.408531331228374,0.0631472462358063,-0.0497749581732915,0.0764020885619184,0.00209456452943066,0.458306289401665,0.0750714645183338,0.311168922679054,0.605443656124276,1.58139329289669,1.36501978451089,1.83206483539337,1.02843571353545e-09,12030,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7","binary_any_link",1.18270107056576e-08,0.148246070629218,0.0284024444153753,0.0925783025021811,0.203913838756254,1.15979825353854,1.09699903596679,1.22619249863385,1.17906844081148e-06,"completed",0.310060218772447,TRUE,12030,56,2980,1529,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_98ca0000b734","Brandt's Cormorant","checklist_reporting","active_minus_pre14",TRUE,0.394577339402271,0.207760658173954,0.249487537196463,0.214637872645278,0.025349246525081,0.145089802205808,0.196304392229015,-0.239659736570086,0.529839340981702,1.15614338983298,0.786895567303364,1.69865938174636,0.459842485047931,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14","binary_any_link",0.73574797607669,-0.00920227665638125,0.0784217305486456,-0.162906044137031,0.144501490824269,0.990839934711987,0.849671016237956,1.15546341755537,0.946004757190418,"completed",0.154292078862189,FALSE,217200,58,29248,22980,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_98ca0000b734","Brandt's Cormorant","checklist_reporting","active_minus_pre7",FALSE,0.394577339402271,0.207760658173954,0.167173682909323,0.256268700344053,0.0244639466284213,0.227403656492948,0.244765693274327,-0.252328286975711,0.707135599961607,1.25533649040786,0.776989620622657,2.02817343027913,0.352854517299719,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7","binary_any_link",0.64646316653927,-0.00321399891829326,0.0947352307181406,-0.188891639192942,0.182463641356355,0.996791160447351,0.827876211168808,1.20017051358827,0.974989486003189,"completed",0.230617655411242,FALSE,217200,58,29248,22980,217200,1,"each joint period-by-zone additive count replaced by 0/1"
