"model_version_id","analysis_taxon_id","unit_label","region","outcome","band","band_label","contrast","contrast_type","period","minimum_day","maximum_day","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","status"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–10 km","within_band_8_10_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,-0.125369313890762,0.043131613116771,-0.209905722194749,-0.0408329055867758,0.882171044395598,0.810660669676341,0.959989525433285,0.0036529975330846,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–10 km","within_band_8_10_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.0844827895426809,0.0296386743313011,-0.142573523781543,-0.0263920553038189,0.918987471435384,0.867123797727797,0.973953171240624,0.0043660979066244,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–10 km","within_band_8_10_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.040957707096244,0.027301402857597,-0.094467473424553,0.012552059232065,0.959869724767244,0.909857328687778,1.01263116696938,0.133561251365958,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–10 km","within_band_8_10_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,-0.0953858627021693,0.0272730914241617,-0.148840139640595,-0.0419315857637442,0.909022109060031,0.861706856656749,0.958935383160241,0.000469755287558632,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_0_2","0–<2 km","within_band_0_2_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.027734906305799,0.0201678631495561,-0.0672631917240615,0.0117933791124636,0.972646174995754,0.934949098086993,1.01186319519381,0.169068512374999,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_0_2","0–<2 km","within_band_0_2_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,0.0225200299228483,0.0197520390059263,-0.0161932551499976,0.0612333149956942,1.02277552007404,0.983937150758621,1.06314693337496,0.254229241337456,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_0_2","0–<2 km","within_band_0_2_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,0.218741796150774,0.019750570128936,0.180031390023927,0.257452202277621,1.24450989795265,1.19725494439332,1.29362997693607,1.65483824077505e-28,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_0_2","0–<2 km","within_band_0_2_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,0.0212871567465916,0.0166624488957957,-0.0113706429834073,0.0539449564765905,1.02151534454793,0.988693758451163,1.05542650616259,0.201407183759626,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_0_2","0–<2 km","within_band_0_2_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0399063287264625,0.016502405901945,-0.0722504499525359,-0.00756220750038909,0.960879441737953,0.930297873573939,0.992466314050171,0.0155969536923158,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_0_2","0–<2 km","within_band_0_2_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,0.0739417272543735,0.0151567018048594,0.0442351375924358,0.103648316916311,1.07674405883538,1.04522809841415,1.10921029581613,1.06904333990027e-06,83359,"completed"
