"band","band_label","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","species","outcome","contrast","bh_family_id","bh_family_size","p_value_bh_13","significant_bh_0_05"
"band_12_14","12-<14 km",-0.0749954956961685,0.0700426746094117,-0.212276615311474,0.0622856239191366,0.927747665176504,0.808740956491242,1.06426628122645,0.284299179952983,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.719695532392353,FALSE
"band_14_16","14-<16 km",-0.0693813184544649,0.0584935419194613,-0.184026553944793,0.0452639170358631,0.932970853237026,0.831913712942567,1.04630396091321,0.235568442996933,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.719695532392353,FALSE
"band_16_18","16-<18 km",-0.0257951352705079,0.0570526975508872,-0.137616367691103,0.0860260971500876,0.974534716950919,0.871432937457817,1.08983476951556,0.651176606344984,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.775638896336181,FALSE
"band_18_20","18-<20 km",0.025033398698886,0.061191976316899,-0.094900671025064,0.144967468422836,1.02534936528726,0.909463266035844,1.15600196308925,0.682469140187554,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.775638896336181,FALSE
"band_20_22","20-<22 km",-0.0201653518719746,0.0554230428956449,-0.128792519861057,0.0884618161171079,0.980036609020403,0.879156354106429,1.09249253620697,0.715974365848783,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.775638896336181,FALSE
"band_22_24","22-<24 km",-0.130423859211113,0.0555954276696311,-0.239388895148692,-0.0214588232735348,0.877723320950619,0.787108720081299,0.978769779174865,0.0189788678560979,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.0822417607097574,FALSE
"band_24_26","24-26 km",-0.0491280551139814,0.0640252693350811,-0.174615277111217,0.0763591668832542,0.952059205842064,0.839780041231945,1.07935017138407,0.442889558395294,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.719695532392353,FALSE
"band_0_2","0-<2 km",0.336591049876988,0.0396520564872383,0.258874447249053,0.414307652504923,1.40016634844009,1.29547114465106,1.51332263277243,2.09113859585761e-17,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,2.7184801746149e-16,TRUE
"band_2_4","2-<4 km",0.133273324207046,0.0393047411823113,0.0562374470680473,0.210309201346044,1.14256224557636,1.05784883702241,1.23405957385273,0.000696966493533788,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.00453028220796962,TRUE
"band_4_6","4-<6 km",0.093158972001437,0.0359702009116512,0.0226586736979309,0.163659270304943,1.09763621482495,1.0229173313636,1.17781293087407,0.00960057643034659,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.0383950853234916,TRUE
"band_6_8","6-<8 km",-0.0885555834125482,0.0352519279677913,-0.157648092615019,-0.0194630742100771,0.915252236479482,0.854150310888492,0.980725108569389,0.0120022646842579,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.0383950853234916,TRUE
"band_8_10","8-<10 km",0.0844497766961542,0.0356117704408745,0.014651989206332,0.154247564185976,1.08811819396898,1.01475985577625,1.16677970389419,0.0177208086108423,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.0383950853234916,TRUE
"band_10_12","10-<12 km",0.0280864932608188,0.0296468011581287,-0.0300201692659337,0.0861931557875713,1.02848463756445,0.970425960571855,1.09001685103596,0.343450216737234,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.420676988402735,FALSE
"band_12_14","12-<14 km",0.0049029622100296,0.0391801803846006,-0.0718887802515703,0.0816947046716295,1.0049150013971,0.930634394978813,1.08512447582159,0.900413637394316,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.964206830381713,FALSE
"band_14_16","14-<16 km",0.0014510175990657,0.0323345514226696,-0.0619235386456252,0.0648255738437566,1.00145207083446,0.939954754257074,1.06697290017041,0.964206830381713,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.964206830381713,FALSE
"band_16_18","16-<18 km",0.0373717647799163,0.0348938450829645,-0.0310189148648143,0.105762444424647,1.03807887027384,0.969457235750045,1.11155778839001,0.284163544750232,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.410458453528113,FALSE
"band_18_20","18-<20 km",-0.0494204255942976,0.0338394226028345,-0.115744475153484,0.0169036239648887,0.951780892522044,0.890702790915584,1.01704729861559,0.144169354645674,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.237847914816953,FALSE
"band_20_22","20-<22 km",0.0265107573583633,0.0287194098892656,-0.0297782516818407,0.0827997663985673,1.02686529356022,0.970660752074729,1.08632426814898,0.355957451725391,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.420676988402735,FALSE
"band_22_24","22-<24 km",0.0770969120091738,0.0320737096527627,0.0142335962391642,0.139960227779183,1.08014675051222,1.01433537619506,1.15022805082346,0.0162282371134155,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.0383950853234916,TRUE
"band_24_26","24-26 km",-0.0489563769397943,0.0337053508375237,-0.115017650667628,0.0171048967880392,0.952222667659252,0.891350410838141,1.01725202319871,0.146367947579664,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.237847914816953,FALSE
