"band","band_label","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","species","outcome","contrast","p_value_bh_13"
"band_22_24","22-<24 km",3.591104501002e-05,0.0428980002136823,-0.0840426243825988,0.0841144464726189,1.00003591168982,0.919392066740708,1.08775337622239,0.999332069912665,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.999332069912665
"band_24_26","24-26 km",0.0299916339761086,0.0472834507252079,-0.0626822265100731,0.12266549446229,1.03044591318233,0.939241892445885,1.13050619710868,0.525888628104458,"Bald Eagle","detection","spawn_start_minus_equal_duration_pooled_pre",0.694376503823631
"band_0_2","0-<2 km",0.221454936800271,0.0197393950298678,0.182766433465121,0.260143440135421,1.24789101299175,1.20053397077216,1.29711613183589,3.29221090896692e-29,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",4.279874181657e-28
"band_2_4","2-<4 km",0.122476684720807,0.0188489859547433,0.0855333511044091,0.159420018337205,1.13029276667537,1.08929789002592,1.17283045353944,8.15104165698458e-11,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",5.29817707703998e-10
"band_4_6","4-<6 km",0.0644236438107156,0.0169591277618439,0.0311843641882881,0.0976629234331431,1.06654413788938,1.03167569040543,1.10259106485215,0.000145422252294696,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.000630163093277014
"band_6_8","6-<8 km",-0.0404937645503291,0.0157064902855231,-0.0712779198334826,-0.00970960926717559,0.960315152489546,0.931203056363099,0.99033737679382,0.00993294666917654,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.0322820766748238
"band_8_10","8-<10 km",-0.0138765237458928,0.0162543662189101,-0.0457344961264811,0.0179814486346956,0.986219311411333,0.955295563195584,1.01814408825168,0.393265393251309,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.85207501871117
"band_10_12","10-<12 km",0.00455740304625942,0.0146564939847822,-0.0241687973035416,0.0332836033960605,1.00456780380166,0.976120929270258,1.03384369925286,0.755840383793081,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.897277309077777
"band_12_14","12-<14 km",0.00138815893713495,0.0178245119961809,-0.0335472426173817,0.0363235604916516,1.00138912287573,0.967009226105395,1.03699132163661,0.937924136109043,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.937924136109043
"band_14_16","14-<16 km",0.00231175520871243,0.0158299041997393,-0.0287142869014959,0.0333377973189208,1.00231442937506,0.971694050527704,1.03389972881676,0.883892005751465,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.937924136109043
"band_16_18","16-<18 km",-0.0273648072311336,0.0157638951494495,-0.0582614739801202,0.00353185951785308,0.973006217066606,0.943403239784424,1.00353810388292,0.0825785826200658,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.214704314812171
"band_18_20","18-<20 km",-0.0111496880720015,0.0167219634099113,-0.0439241341062242,0.0216247579622213,0.988912239329292,0.957026560394341,1.02186026758997,0.504919649166667,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.897277309077777
"band_20_22","20-<22 km",-0.00482374094178156,0.0157388628407951,-0.0356713452673557,0.0260238633837926,0.995187874612242,0.96495737918388,1.02636544073363,0.759234646142734,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.897277309077777
"band_22_24","22-<24 km",-0.00545083086150311,0.015528304692674,-0.0358857488001085,0.0249840870771023,0.994563997961668,0.964750511090244,1.02529880489379,0.725569220706034,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.897277309077777
"band_24_26","24-26 km",-0.0091710384512305,0.0161575256402246,-0.0408392067853532,0.0224971298828922,0.990870887256588,0.959983476367711,1.02275209874194,0.570305476513169,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.897277309077777
"band_0_2","0-<2 km",0.287034295434022,0.0829460538020651,0.124463017322253,0.449605573545791,1.33246991032597,1.13254013531888,1.56769372365263,0.000539185878820506,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.00700941642466657
"band_2_4","2-<4 km",0.0697159704450663,0.0662663371117717,-0.0601636636813962,0.199595604571529,1.07220360048985,0.941610413545945,1.22090892832644,0.292773353032076,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.510324813149765
"band_4_6","4-<6 km",-0.0469719786047792,0.059452276683401,-0.163496299703156,0.0695523424935972,0.954114132824992,0.849169641175514,1.07202817236401,0.429481797254678,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.620362596034534
"band_6_8","6-<8 km",-0.151755613407305,0.053366572164839,-0.256352172828747,-0.0471590539858624,0.859198231613764,0.773869385026362,0.953935658254616,0.00446006387165542,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.0289904151657602
"band_8_10","8-<10 km",-0.0872719982388832,0.054125653047767,-0.193356328852217,0.0188123323744507,0.916427794983721,0.824188239759715,1.01899039916364,0.106875747468257,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.231564119514557
"band_10_12","10-<12 km",0.0281059054938863,0.0502514729195792,-0.0703851715985787,0.126596982586351,1.02850460294173,0.932034757442601,1.13495951714812,0.575953509800442,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.748739562740574
"band_12_14","12-<14 km",-0.0294370558121421,0.063878938079361,-0.154637473818354,0.0957633621940697,0.970991994020194,0.856725706691894,1.10049861360164,0.644923667787147,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.762182516475719
