"model_version_id","analysis_taxon_id","unit_label","region","outcome","band","band_label","contrast","contrast_type","period","minimum_day","maximum_day","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","status","bh_family_id","bh_family_size","p_value_bh_13","significant_nominal_0_05","significant_bh_0_05","timing_group","species"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_20_22","20–<22 km","within_band_20_22_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0414159703283983,0.0288475914583364,-0.0979562106274629,0.0151242699706664,0.959429952538143,0.906688606209794,1.01523922052502,0.15109282450354,217199,"completed","bald_eagle__detection__late_egg__13_bands",13,0.392841343709204,FALSE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_22_24","22–<24 km","within_band_22_24_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.00405593311271015,0.0352113362501045,-0.0730688840104446,0.0649570177850243,0.995952281074846,0.929536797597938,1.06711315651135,0.908295891342557,217199,"completed","bald_eagle__detection__immediate_pre__13_bands",13,0.971334956134119,FALSE,FALSE,"pre_spawn","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_22_24","22–<24 km","within_band_22_24_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.00233694012972905,0.0294833579242116,-0.0601232598044874,0.0554493795450293,0.99766578838898,0.941648459025777,1.05701550911215,0.93682341568813,217199,"completed","bald_eagle__detection__early_egg__13_bands",13,0.952253406076857,FALSE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_24_26","24–26 km","within_band_24_26_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.0369590359275859,0.0398983740497467,-0.115158412106797,0.0412403402516251,0.963715612256608,0.891224951901604,1.04210253463557,0.354274834184058,217199,"completed","bald_eagle__detection__early_pre__13_bands",13,0.673397752171272,FALSE,FALSE,"pre_spawn","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_24_26","24–26 km","within_band_24_26_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.00289833837112939,0.0331173296228393,-0.0678071116960359,0.0620104349537771,0.997105857756616,0.93444069887654,1.06397344718385,0.930260356396845,217199,"completed","bald_eagle__detection__early_egg__13_bands",13,0.952253406076857,FALSE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_0_2","0–<2 km","within_band_0_2_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.0305901762471022,0.0204158688906229,-0.0706045439858147,0.00942419149161035,0.969872968619231,0.931830317177968,1.00946873901574,0.134041588116466,83359,"completed","bald_eagle__positive_numeric_count_given_detection__early_pre__13_bands",13,0.348508129102812,FALSE,FALSE,"pre_spawn","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_0_2","0–<2 km","within_band_0_2_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.037294760666723,0.01680359420902,-0.0702292001272279,-0.00436032120621799,0.963392123388727,0.93218013961251,0.995649171192645,0.0264560302074581,83359,"completed","bald_eagle__positive_numeric_count_given_detection__late_egg__13_bands",13,0.110232084123763,TRUE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.00238219471733882,0.0180266638295836,-0.0377138065847335,0.0329494171500559,0.997620640456738,0.962988502425742,1.03349826063168,0.894866916758731,83359,"completed","bald_eagle__positive_numeric_count_given_detection__early_pre__13_bands",13,0.933611102053652,FALSE,FALSE,"pre_spawn","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.00657871289185609,0.0176396342301007,-0.0411517606833135,0.0279943348996013,0.993442879463884,0.959683476675673,1.02838985847313,0.709185180611136,83359,"completed","bald_eagle__positive_numeric_count_given_detection__immediate_pre__13_bands",13,0.787123157275256,FALSE,FALSE,"pre_spawn","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0106077025610534,0.0138670130242321,-0.0377865486616962,0.0165711435395894,0.989448360706493,0.962918455189706,1.01670920650481,0.444295695401845,83359,"completed","bald_eagle__positive_numeric_count_given_detection__late_egg__13_bands",13,0.721980505027998,FALSE,FALSE,"post_onset_period","Bald Eagle"
