"model_id","region","unit_label","unit_class","outcome","contrast","estimate","standard_error","conf_low","conf_high","p_value","n","status","multiplicity_family","q_value","pooling_family_id_v2","component_evidence_id","partial_pool_estimate_v2","partial_pool_standard_error_v2","partial_pool_conf_low_v2","partial_pool_conf_high_v2","pooling_reason_code_v2"
"M01","SoG","surface_vegetation_roe","guild","positive_count","active_near",0.459377531461369,0.0237432968354018,0.412840669663981,0.505914393258756,2.96766898696488e-83,106367,"completed","M01_SoG_positive_count",1.18706759478595e-82,"pf2_71285c1018ad6c55259be692","ce2_f905b155af37898034ce2018",0.457151533442784,0.023648671193933,0.410800989620446,0.503502077265123,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","alcid_piscivore","guild","detection","active_near",-0.0278215431876783,0.181881486508657,-0.384309256744646,0.32866617036929,0.878425695983245,8584,"completed","M01_WCVI_detection",0.878425695983245,"pf2_a6b60279eee5b2a71ffab23c","ce2_d020d54689261d90507f7313",0.0470917973552225,0.158823131918939,-0.264195821117752,0.358379415828197,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","falsification","guild","detection","active_near",0.087692166157077,0.356573357854502,-0.611191615237746,0.7865759475519,0.805736245988161,8584,"completed","M01_WCVI_detection",0.878425695983245,"pf2_a6b60279eee5b2a71ffab23c","ce2_19ec3ecd03113efa93ffc57d",0.196624569917211,0.240564962457768,-0.274874092442245,0.668123232276666,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","gull_roe","guild","detection","active_near",0.170358580219908,0.132072614239364,-0.0885037436892458,0.429220904129062,0.197090336636718,8575,"completed","M01_WCVI_detection",0.394180673273436,"pf2_a6b60279eee5b2a71ffab23c","ce2_f6225b5dc1d76754b9516b2f",0.186900148787646,0.122403870981591,-0.0530070299045593,0.426807327479851,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","intertidal_roe_shorebird","guild","detection","active_near",-0.113930550161883,0.140236108514207,-0.38879332284973,0.160932222525964,0.416550956645973,8584,"completed","M01_WCVI_detection",0.666481530633557,"pf2_a6b60279eee5b2a71ffab23c","ce2_a6aeca5402e97a459dc25cba",-0.0511973607791299,0.128817053674744,-0.303674146576191,0.201279425017931,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","piscivore_active_spawn","guild","detection","active_near",0.514345225622977,0.138214256515852,0.243445282851907,0.785245168394048,0.000198151463336695,8580,"completed","M01_WCVI_detection",0.000528403902231187,"pf2_a6b60279eee5b2a71ffab23c","ce2_fc86f05ac9aeaa465d68a70d",0.479785856988705,0.127244689557361,0.230390848232298,0.729180865745112,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","roe_diving_seaduck","guild","detection","active_near",0.86673309003067,0.13509524860904,0.601946402756951,1.13151977730439,1.40160197844784e-10,8573,"completed","M01_WCVI_detection",1.12128158275827e-09,"pf2_a6b60279eee5b2a71ffab23c","ce2_3777b27ee97cc19108f18fcc",0.781819482644772,0.12479839950872,0.537219114279439,1.0264198510101,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","shoreline_scavenger","guild","detection","active_near",-0.0589886305154146,0.179601882243713,-0.411008319713092,0.293031058682263,0.742578210560982,8584,"completed","M01_WCVI_detection",0.878425695983245,"pf2_a6b60279eee5b2a71ffab23c","ce2_038da7f38c32520eb4bb3078",0.0217534975045138,0.157298477593932,-0.286545853402573,0.330052848411601,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","surface_vegetation_roe","guild","detection","active_near",0.708779684438072,0.14617799144403,0.422270821207772,0.995288547668371,1.24245529475463e-06,8579,"completed","M01_WCVI_detection",4.9698211790185e-06,"pf2_a6b60279eee5b2a71ffab23c","ce2_1bce9e71d2d5b42ff45ad5a7",0.63824552333894,0.133376566823369,0.376832255983536,0.899658790694343,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","alcid_piscivore","guild","positive_count","active_near",-0.358968188512703,0.197415917554,-0.745903386918543,0.0279670098931377,0.0692795454292683,1151,"completed","M01_WCVI_positive_count",0.0791766233477352,"pf2_7f304eef1fb088254ad13701","ce2_c6fc45544d54049843819a34",-0.218891199181759,0.182880044732138,-0.577329500347823,0.139547101984305,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","falsification","guild","positive_count","active_near",0.570340151222715,0.42659429740017,-0.265784671681618,1.40646497412705,0.182635085373337,246,"completed","M01_WCVI_positive_count",0.182635085373337,"pf2_7f304eef1fb088254ad13701","ce2_d4ba1bfdd99b48308a49f5b1",0.595719179025719,0.320486410703223,-0.0324226434871108,1.22386100153855,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","gull_roe","guild","positive_count","active_near",1.15760023770086,0.132097303215594,0.898689523398299,1.41651095200343,2.66683176861015e-18,4420,"completed","M01_WCVI_positive_count",2.13346541488812e-17,"pf2_7f304eef1fb088254ad13701","ce2_2f8af52f3b58fa7659f523d7",1.12114989919935,0.127465029705275,0.871323031688681,1.37097676671002,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","intertidal_roe_shorebird","guild","positive_count","active_near",0.575628348648599,0.152578657807284,0.276574179346322,0.874682517950876,0.000164621286314158,3041,"completed","M01_WCVI_positive_count",0.000219495048418877,"pf2_7f304eef1fb088254ad13701","ce2_92c10b4396a204fc52cda2d2",0.580388581124886,0.145562030672965,0.29509224348936,0.865684918760411,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","piscivore_active_spawn","guild","positive_count","active_near",0.495203057732874,0.124536636575698,0.251111250044505,0.739294865421242,7.11949508051262e-05,4089,"completed","M01_WCVI_positive_count",0.000113911921288202,"pf2_7f304eef1fb088254ad13701","ce2_c0a8a87b309dfe4ac0a769a1",0.503435894046202,0.120632517324731,0.267000504725326,0.739871283367078,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","roe_diving_seaduck","guild","positive_count","active_near",1.28209277469714,0.147988744652601,0.992034835178047,1.57215071421624,7.36897808245985e-18,3015,"completed","M01_WCVI_positive_count",2.94759123298394e-17,"pf2_7f304eef1fb088254ad13701","ce2_afe067a8a8fccfd4468308b6",1.22655485301249,0.141560602889842,0.949101169718621,1.50400853630635,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","shoreline_scavenger","guild","positive_count","active_near",0.282636798027373,0.0652816425251376,0.154684778678103,0.410588817376642,1.51584917533755e-05,6855,"completed","M01_WCVI_positive_count",3.03169835067509e-05,"pf2_7f304eef1fb088254ad13701","ce2_7985477ebf20c8d0e18603a0",0.288778689437228,0.0646995791147586,0.161969844557402,0.415587534317055,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","WCVI","surface_vegetation_roe","guild","positive_count","active_near",0.971555089946253,0.176117863294202,0.626364077889618,1.31674610200289,4.07584695764309e-08,1509,"completed","M01_WCVI_positive_count",1.08689252203816e-07,"pf2_7f304eef1fb088254ad13701","ce2_ce5956a8d57f42c70d7fdef3",0.931686139604335,0.165564640369733,0.607185407366332,1.25618687184234,"INCLUDED_PRIMARY_REPRESENTATION"
