"feature_set","scheme","selected_k","cluster","mean_bootstrap_jaccard","stable_at_0_6","common_name","guild"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Long-tailed Duck","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"American Herring Gull","gull_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Black Scoter","roe_diving_seaduck"
"A","inverse_variance",3,3,0.635,TRUE,"Bald Eagle","shoreline_scavenger"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"American Crow","shoreline_scavenger"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Mallard","surface_vegetation_roe"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Bald Eagle","shoreline_scavenger"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Canada Goose","surface_vegetation_roe"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Common Raven","shoreline_scavenger"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Bufflehead","roe_diving_seaduck"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Great Blue Heron","shoreline_scavenger"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Double-crested Cormorant","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Hooded Merganser","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Pelagic Cormorant","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Common Loon","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Black Oystercatcher","intertidal_roe_shorebird"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Red-breasted Merganser","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Horned Grebe","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Barrow's Goldeneye","roe_diving_seaduck"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Red-necked Grebe","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Pigeon Guillemot","alcid_piscivore"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Pacific Loon","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Dunlin","intertidal_roe_shorebird"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Ring-billed Gull","gull_roe"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Black Turnstone","intertidal_roe_shorebird"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Black-bellied Plover","intertidal_roe_shorebird"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Marbled Murrelet","alcid_piscivore"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Brandt's Cormorant","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Common Murre","alcid_piscivore"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Black Scoter","roe_diving_seaduck"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Red-throated Loon","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Western Grebe","piscivore_active_spawn"
"A","reliability_shrunk",2,1,0.849526640804395,TRUE,"Western Gull","gull_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Glaucous-winged Gull","gull_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"American Wigeon","surface_vegetation_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Common Merganser","piscivore_active_spawn"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Short-billed Gull","gull_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Common Goldeneye","roe_diving_seaduck"
