"feature_set","scheme","algorithm","k","selection_role","analysis_taxon_id","common_name","cluster"
"A","reliability_shrunk","Ward.D2",2,"selected","atx_v2_000003","Dunlin",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_3083477933a8","White-winged Scoter",2
"A","reliability_shrunk","Ward.D2",2,"selected","atx_aa5353f6d6d2","Iceland Gull",2
"A","reliability_shrunk","Ward.D2",2,"selected","atx_08bb40b40c0a","Ring-billed Gull",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_4ae57d328ec6","Greater Scaup",2
"A","reliability_shrunk","Ward.D2",2,"selected","atx_15dd5efcd8d6","Black Turnstone",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_fadb8da1a816","Bonaparte's Gull",2
"A","reliability_shrunk","Ward.D2",2,"selected","atx_v2_000006","Black-bellied Plover",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_59441ff7abde","Brant",2
"A","reliability_shrunk","Ward.D2",2,"selected","atx_acf526bb8010","Marbled Murrelet",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_40f730f5ad72","Long-tailed Duck",2
"A","reliability_shrunk","Ward.D2",2,"selected","atx_98ca0000b734","Brandt's Cormorant",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_136b0e66254b","Common Murre",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_7571c026ae99","American Herring Gull",2
"A","reliability_shrunk","Ward.D2",2,"selected","atx_1328b44be502","Black Scoter",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_04cf65098f13","Red-throated Loon",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_ebf17f77fb66","Western Grebe",1
"A","reliability_shrunk","Ward.D2",2,"selected","atx_5a9a3495d0ea","Western Gull",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_c9db024faf12","American Crow",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_725074cbfcb6","Glaucous-winged Gull",2
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_815c98107028","Mallard",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_fc0a9b777dcd","Bald Eagle",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_b3d3ea90f9cb","Canada Goose",1
