species,outcome,active_estimate,pre_estimate,active_status,pre_status,log_diff,ratio,active_q
Common Loon,detection,-0.102282018707269,-0.0418945944878706,completed,completed,-0.0603874242193984,0.9413997418641044,0.0217081373667214
Common Loon,positive_numeric_count_given_detection,0.0135744520121268,-0.0304869798555138,completed,completed,0.044061431867640596,1.0450465520780126,0.544371839791225
Common Merganser,detection,0.171827418045735,0.0205506460649426,completed,completed,0.15127677198079242,1.1633185875190015,1.13283972698756e-07
Common Merganser,positive_numeric_count_given_detection,0.103538791528342,-0.0016486879978803,completed,completed,0.1051874795262223,1.110918865375871,4.9643455289137e-07
Common Murre,detection,-0.117772535922523,0.0184048953763118,completed,completed,-0.1361774312988348,0.8726877766253032,0.266610505819141
Common Murre,positive_numeric_count_given_detection,-0.0966784232932358,0.0662099882069557,completed,completed,-0.1628884115001915,0.8496859983105046,0.491428593059436
Common Raven,detection,-0.0626860956240018,-0.0035498550617918,completed,completed,-0.05913624056221001,0.9425783430054948,0.0260159303832114
Common Raven,positive_numeric_count_given_detection,0.013549588691374,0.0140748549070698,completed,completed,-0.0005252662156958014,0.9994748717124522,0.215306159258551
Double-crested Cormorant,detection,0.0215900402506372,-0.0075921547962111,completed,completed,0.0291821950468483,1.0296121676242784,0.66936731315844
Double-crested Cormorant,positive_numeric_count_given_detection,0.118881096148906,0.0269313927391605,completed,completed,0.09194970340974551,1.096309680055331,1.28493089915524e-07
Dunlin,detection,-0.0661746167599995,-0.0274801948335475,completed,completed,-0.038694421926452,0.9620446439830344,0.351083686362884
Dunlin,positive_numeric_count_given_detection,-0.020183912136825,-0.0354737290285493,completed,completed,0.015289816891724296,1.0154073041645908,0.814794035650887
Glaucous Gull,detection,,,failed_numerical_fit_no_fallback,failed_numerical_fit_no_fallback,,,
Glaucous Gull,positive_numeric_count_given_detection,,,failed_insufficient_support,failed_insufficient_support,,,
Glaucous-winged Gull,detection,0.110344293688804,-0.0183610990718486,completed,completed,0.1287053927606526,1.1373550017861818,0.0005896032835934
Glaucous-winged Gull,positive_numeric_count_given_detection,0.194281339063518,0.0377777758756394,completed,completed,0.15650356318787859,1.16941492915672,2.0084537775512797e-36
Great Blue Heron,detection,0.0193616725528611,0.0089756940108017,completed,completed,0.010385978542059401,1.0104401000230987,0.640377355379383
Great Blue Heron,positive_numeric_count_given_detection,0.0398280771574369,0.0365220719668269,completed,completed,0.0033060051906100008,1.0033114760530086,0.00955997673052
Greater Scaup,detection,0.130774674019577,0.0081350099700685,completed,completed,0.12263966404950849,1.1304769960440995,0.0260159303832114
Greater Scaup,positive_numeric_count_given_detection,0.161335811424524,0.0109110764824085,completed,completed,0.1504247349421155,1.1623278191402704,0.0162348042540871
Harlequin Duck,detection,0.0875543865557125,-0.0524481501027031,completed,completed,0.1400025366584156,1.1502767167126402,0.163238993275973
Harlequin Duck,positive_numeric_count_given_detection,0.200621581312004,0.0160344837504767,completed,completed,0.1845870975615273,1.2027217308530436,3.47964212989531e-16
Hooded Merganser,detection,-0.0293733597909755,-0.0498123005155781,completed,completed,0.0204389407246026,1.0206492462371344,0.581023095017145
Hooded Merganser,positive_numeric_count_given_detection,0.0085708773720788,-0.0104874809679298,completed,completed,0.0190583583400086,1.0192411281021336,0.730728846657232
Horned Grebe,detection,-0.0087357241707422,0.0597539312548932,completed,completed,-0.0684896554256354,0.9338031198493749,0.866877030252743
Horned Grebe,positive_numeric_count_given_detection,-0.0227635060824944,-0.0428760403727302,completed,completed,0.0201125342902358,1.0203161541205934,0.431374325063206
Iceland Gull,detection,0.356448360874238,0.101103850640318,completed,completed,0.25534451023391996,1.2909062746972602,2.43489051828041e-12
Iceland Gull,positive_numeric_count_given_detection,0.311072964332053,0.178731701139794,completed,completed,0.132341263192259,1.1414978039896013,1.38009291167071e-08
Lesser Scaup,detection,0.214265528451476,-0.0185708072166986,completed,completed,0.2328363356681746,1.2621748894120999,0.0029633493503376
Lesser Scaup,positive_numeric_count_given_detection,0.125312054742457,0.0405809275551203,completed,completed,0.08473112718733669,1.0884243796280422,0.077581158521875
Long-tailed Duck,detection,0.103466508091422,-0.0270121540887907,completed,completed,0.1304786621802127,1.1393736278850366,0.190165022922003
Long-tailed Duck,positive_numeric_count_given_detection,0.400303996693646,0.0411364528171199,completed,completed,0.3591675438765261,1.432136727211054,1.63751333214542e-11
Mallard,detection,0.0349484603771195,0.0207468806236829,completed,completed,0.014201579753436604,1.0143029012608298,0.311531461945134
Mallard,positive_numeric_count_given_detection,0.104744175913395,0.0350395712408742,completed,completed,0.06970460467252079,1.0721914141368574,3.6918457779872494e-11
Marbled Murrelet,detection,-0.0442386593971891,0.0227377439837431,completed,completed,-0.06697640338093219,0.9352172690420572,0.758275139230636
Marbled Murrelet,positive_numeric_count_given_detection,0.131418917327413,0.0582289782898387,completed,completed,0.07318993903757431,1.075934879543281,0.077581158521875
Northern Pintail,detection,0.25528791955197,0.0685356258906727,completed,completed,0.1867522936612973,1.20532868051395,7.32068735907864e-07
Northern Pintail,positive_numeric_count_given_detection,0.0811177249399882,0.0019368666232613,completed,completed,0.0791808583167269,1.082400065422732,0.093986773579314
Pacific Loon,detection,-0.084710869906767,-0.0193876367810422,completed,completed,-0.0653232331257248,0.936764621079169,0.190165022922003
Pacific Loon,positive_numeric_count_given_detection,0.10375633648477,-0.041811275126277,completed,completed,0.145567611611047,1.1566959380142898,0.093986773579314
Pelagic Cormorant,detection,0.0329299047818047,-0.0140194987494861,completed,completed,0.046949403531290804,1.0480689791487947,0.581023095017145
Pelagic Cormorant,positive_numeric_count_given_detection,0.0373322834117361,0.0132348352888383,completed,completed,0.024097448122897797,1.0243901379229607,0.168523271661914
Pigeon Guillemot,detection,-0.0920562286119405,-0.0816347633221672,completed,completed,-0.010421465289773307,0.9896326500295011,0.241443484159268
Pigeon Guillemot,positive_numeric_count_given_detection,-0.0049570687708339,-0.022393515377388,completed,completed,0.0174364466065541,1.0175893488394263,0.896570944766415
Red-breasted Merganser,detection,-0.0206376622409749,-0.0120670546113873,completed,completed,-0.0085706076295876,0.9914660153263039,0.709724129866597
Red-breasted Merganser,positive_numeric_count_given_detection,0.0996086742002513,-0.0207255940765723,completed,completed,0.1203342682768236,1.127873801006685,0.0006940434704539
Red-necked Grebe,detection,0.113743371459677,0.0516094583708109,completed,completed,0.0621339130888661,1.0641048327523461,0.0324206062821807
Red-necked Grebe,positive_numeric_count_given_detection,0.0170229005107442,-0.0007114800543648,completed,completed,0.017734380565109002,1.0178925684297728,0.668810247304735
Red-throated Loon,detection,0.0069774910185714,0.0082676508270169,completed,completed,-0.0012901598084455006,0.9987106720899211,0.956992728831415
Red-throated Loon,positive_numeric_count_given_detection,0.014048234380549,-0.0297913444077954,completed,completed,0.0438395787883444,1.044814730998487,0.89580005704698
Rhinoceros Auklet,detection,-0.344125684179523,-0.0578245719111592,completed,completed,-0.2863011122683638,0.7510364356110073,0.0244530652940455
Rhinoceros Auklet,positive_numeric_count_given_detection,,,failed_insufficient_support,failed_insufficient_support,,,
Ring-billed Gull,detection,-0.236116643546496,-0.203427610001102,completed,completed,-0.032689033545394014,0.9678394784100065,0.0015874244172746
Ring-billed Gull,positive_numeric_count_given_detection,-0.180405787943444,-0.207630617372999,completed,completed,0.02722482942955501,1.0275988112483077,0.00955997673052
Short-billed Gull,detection,0.194747232667529,-0.0290043726651763,completed,completed,0.2237516053327053,1.2507602986510191,1.13283972698756e-07
Short-billed Gull,positive_numeric_count_given_detection,0.307662560239014,0.0454859773949577,completed,completed,0.2621765828440563,1.2997560367839571,1.35812134496327e-25
Surf Scoter,detection,-0.0089404573538741,-0.0123276898786013,completed,completed,0.0033872325247271996,1.0033929756794515,0.866877030252743
Surf Scoter,positive_numeric_count_given_detection,0.221152713161695,-0.0441565323736759,completed,completed,0.2653092455353709,1.3038341183200952,5.3735256154005305e-09
Surfbird,detection,0.0555211464090727,-0.261283449367599,completed,completed,0.3168045957766717,1.372734307635105,0.8099958947366
Surfbird,positive_numeric_count_given_detection,,,failed_insufficient_support,failed_insufficient_support,,,
Western Grebe,detection,-0.300095478738377,-0.0360104342319957,completed,completed,-0.2640850445063813,0.7679082305032439,0.0232353783587373
Western Grebe,positive_numeric_count_given_detection,-0.0759120255825626,-0.18716057186553,completed,completed,0.1112485462829674,1.1176726657217007,0.699702459494397
Western Gull,detection,0.2038382735587,0.0506721167200386,completed,completed,0.1531661568386614,1.1655186217443445,0.220957864678949
Western Gull,positive_numeric_count_given_detection,0.0764979001886197,0.0063561477501292,completed_with_singular_warning,completed_with_singular_warning,0.0701417524384905,1.0726602226800772,0.093986773579314
White-winged Scoter,detection,-0.0928247617961585,-0.171372017477047,completed,completed,0.0785472556808885,1.0817144711083668,0.177119735677083
White-winged Scoter,positive_numeric_count_given_detection,0.268018503982044,0.109797762744893,completed,completed,0.15822074123715102,1.1714247479180266,3.52441934947228e-06
