species,outcome,ratio_recomputed_from_frozen_release,ratio_editorial_release,abs_ratio_diff,ratio_conf_low,ratio_conf_high,q_value,status
American Wigeon,positive_numeric_count_given_detection,1.0564477412941302,1.05644774129413,2.220446049250313e-16,1.00813757218875,1.10707294408476,0.0520193998101351,completed
Bald Eagle,positive_numeric_count_given_detection,1.0625803963114242,1.06258039626907,4.235412021103002e-11,1.04547362154422,1.07996708407394,1.7625222964481498e-12,completed
Barrow's Goldeneye,positive_numeric_count_given_detection,1.0995548702177775,1.09955487022438,6.602496327445806e-12,1.01337796386571,1.19306019643662,0.0521208626686396,completed
Black Oystercatcher,positive_numeric_count_given_detection,0.9927175155305348,0.992717515522004,8.530731676614778e-12,0.95169130362901,1.03551231567032,0.804220814194581,completed
Black Scoter,positive_numeric_count_given_detection,1.012029728741614,1.01202972874161,3.9968028886505635e-15,0.885852162636033,1.15617956929641,0.87940898823518,completed
Black Turnstone,positive_numeric_count_given_detection,1.118738907834658,1.11873890783466,1.9984014443252818e-15,0.980288497829571,1.27674327167376,0.183982928081028,completed
Black-bellied Plover,positive_numeric_count_given_detection,0.9630292447306829,0.963029244734942,4.259148589369488e-12,0.862551348504835,1.07521172834797,0.680273720586879,completed
Bonaparte's Gull,positive_numeric_count_given_detection,1.1626197097825963,1.16261970977827,4.32631708235931e-12,0.868900538899201,1.55562636809657,0.476126592641651,completed
Brandt's Cormorant,positive_numeric_count_given_detection,1.0260211055991508,1.02602110559915,8.881784197001252e-16,0.89366830210303,1.17797543748344,0.802693556038634,completed
Brant,positive_numeric_count_given_detection,1.069325885034599,1.0693258850346,8.881784197001252e-16,0.965384565911555,1.18445838972506,0.338841275661963,completed
Bufflehead,positive_numeric_count_given_detection,1.1204633543131994,1.1204633543132,6.661338147750939e-16,1.09035478211344,1.15140333123991,3.1524083786981304e-15,completed
California Gull,positive_numeric_count_given_detection,1.1475477400187066,1.14754774001871,3.3306690738754696e-15,1.05900665309068,1.24349154160534,0.0027641616884137,completed
Canada Goose,positive_numeric_count_given_detection,1.0431380578960503,1.04313805789605,2.220446049250313e-16,1.00511297085027,1.08260169691238,0.0565234208539867,completed
Common Goldeneye,positive_numeric_count_given_detection,1.195965894586182,1.19596589458618,1.9984014443252818e-15,1.14724052634937,1.24676071683484,5.19133719770113e-16,completed
