sensitivity,species,outcome,contrast,primary_ratio,primary_ci,primary_q,sens_ratio,sens_ci,sens_p,direction_agree
S4_single_event,Bald Eagle,positive_numeric_count_given_detection,did_spawn_start,1.17742430334144,1.15-1.21,1.26791754638232e-41,0.906232012110837,0.79-1.03,0.146200493303584,FALSE
S4_single_event,Bald Eagle,positive_numeric_count_given_detection,did_early_egg,1.02891094442286,1.01-1.05,0.00511487394641812,0.989138587902398,0.90-1.09,0.827929931250189,FALSE
S4_single_event,Bald Eagle,positive_numeric_count_given_detection,did_late_egg,0.988730120955026,0.97-1.01,0.366814461316136,0.91101202411616,0.83-1.00,0.0451399033089288,TRUE
S4_single_event,Bald Eagle,positive_numeric_count_given_detection,did_active_0_14_day,1.0665777245677,1.05-1.08,1.57287672934532e-13,0.966315796971084,0.88-1.06,0.459553023090267,FALSE
S4_single_event,Mallard,detection,did_spawn_start,1.06611025306733,0.98-1.16,0.275532618820133,1.26765272299646,0.72-2.23,0.409830332485736,TRUE
S4_single_event,Mallard,detection,did_early_egg,1.02467775134463,0.97-1.09,0.566505353804667,1.28404869917973,0.85-1.95,0.237999995952021,TRUE
S4_single_event,Mallard,detection,did_late_egg,1.01386055136815,0.96-1.07,0.776597468901604,1.29751341597515,0.89-1.90,0.179221719590272,TRUE
S4_single_event,Mallard,detection,did_active_0_14_day,1.03556633472584,0.98-1.09,0.311531461945134,1.27965581578334,0.88-1.87,0.202695038661092,TRUE
S4_single_event,Mallard,positive_numeric_count_given_detection,did_spawn_start,1.08853260311113,1.04-1.14,0.000740841484950719,1.09984856580187,0.85-1.42,0.461372842643874,TRUE
S4_single_event,Mallard,positive_numeric_count_given_detection,did_early_egg,1.11849663463959,1.08-1.16,1.06778302350125e-10,1.31316385805057,1.09-1.58,0.00421199141674381,TRUE
S4_single_event,Mallard,positive_numeric_count_given_detection,did_late_egg,1.14560384898999,1.11-1.18,4.00278592240844e-16,1.08651574794392,0.91-1.29,0.352815544043562,TRUE
S4_single_event,Mallard,positive_numeric_count_given_detection,did_active_0_14_day,1.11042650017099,1.08-1.14,3.69184577798725e-11,1.25253339445674,1.05-1.49,0.0102427533274954,TRUE
S4_single_event,American Crow,detection,did_spawn_start,1.00219742462643,0.93-1.08,0.9953634914218,0.964763806407984,0.61-1.52,0.876622705550335,FALSE
S4_single_event,American Crow,detection,did_early_egg,1.01125947927208,0.96-1.07,0.742319755472996,1.22847843002049,0.88-1.72,0.232766899897626,TRUE
S4_single_event,American Crow,detection,did_late_egg,0.941407487530203,0.90-0.99,0.0685584454294856,0.96285972785413,0.71-1.31,0.809799977429922,TRUE
S4_single_event,American Crow,detection,did_active_0_14_day,1.00883494981206,0.96-1.06,0.8099958947366,1.15181251558247,0.85-1.57,0.368494073780445,TRUE
S4_single_event,American Crow,positive_numeric_count_given_detection,did_spawn_start,0.988475613527158,0.95-1.02,0.674507319349511,1.23172303581688,1.03-1.48,0.0247034403630906,FALSE
S4_single_event,American Crow,positive_numeric_count_given_detection,did_early_egg,1.00947926129012,0.98-1.04,0.602930554292268,0.981343359335643,0.86-1.12,0.782757526718625,FALSE
S4_single_event,American Crow,positive_numeric_count_given_detection,did_late_egg,0.987041031265705,0.96-1.01,0.476941899874278,1.0919322991215,0.96-1.24,0.163777601763548,FALSE
S4_single_event,American Crow,positive_numeric_count_given_detection,did_active_0_14_day,1.00383503752411,0.98-1.03,0.814587799156161,1.04265078573936,0.92-1.18,0.50738227710881,TRUE
S4_single_event,Common Raven,detection,did_spawn_start,0.936930443008032,0.87-1.01,0.193337726013496,1.40651497000711,0.93-2.13,0.108993510431963,FALSE
S4_single_event,Common Raven,detection,did_early_egg,0.940078872675709,0.89-0.99,0.0577367978978265,0.873746546034056,0.64-1.19,0.390686637241208,TRUE
S4_single_event,Common Raven,detection,did_late_egg,0.990461873326312,0.94-1.04,0.794916786072253,1.06245897463716,0.81-1.40,0.668556620594693,FALSE
S4_single_event,Common Raven,detection,did_active_0_14_day,0.939238258419027,0.90-0.98,0.0260159303832114,0.992021706622119,0.75-1.31,0.955547915931554,TRUE
S4_single_event,Common Raven,positive_numeric_count_given_detection,did_spawn_start,1.0023294167406,0.97-1.03,0.931642670269836,1.05245114063562,0.92-1.21,0.472620608523141,TRUE
S4_single_event,Common Raven,positive_numeric_count_given_detection,did_early_egg,1.01778697335837,1.00-1.04,0.130515706201984,1.01651805242348,0.91-1.13,0.764370463486271,TRUE
S4_single_event,Common Raven,positive_numeric_count_given_detection,did_late_egg,1.01492152956386,1.00-1.03,0.249588122474352,1.05533071873742,0.96-1.16,0.272439442547502,TRUE
S4_single_event,Common Raven,positive_numeric_count_given_detection,did_active_0_14_day,1.01364180037434,1.00-1.03,0.215306159258551,1.0259784883233,0.93-1.13,0.60576352446156,TRUE
