"analysis_taxon_id","unit_label","estimate_reporting","estimate_count","positive_reporting","positive_count","contrast"
"atx_136b0e66254b","Common Murre",-0.136177431298835,-0.162888411500191,FALSE,FALSE,"active_minus_pre_14_day"
"atx_v2_000007","Common Raven",-0.05913624056221,-0.000525266215695804,FALSE,FALSE,"active_minus_pre_14_day"
"atx_a444854c6b66","Double-crested Cormorant",0.029182195061648,0.0919497033938979,TRUE,TRUE,"active_minus_pre_14_day"
"atx_v2_000003","Dunlin",-0.038694421926452,0.0152898168917243,FALSE,TRUE,"active_minus_pre_14_day"
"atx_725074cbfcb6","Glaucous-winged Gull",0.128705392428508,0.156503563247182,TRUE,TRUE,"active_minus_pre_14_day"
"atx_7b80ddaff058","Great Blue Heron",0.0103859785583854,0.00330600554006562,TRUE,TRUE,"active_minus_pre_14_day"
"atx_4ae57d328ec6","Greater Scaup",0.122639664049509,0.150424734942116,TRUE,TRUE,"active_minus_pre_14_day"
"atx_87b306550dba","Harlequin Duck",0.140002537264664,0.184587097563683,TRUE,TRUE,"active_minus_pre_14_day"
"atx_04afbeb21fb0","Hooded Merganser",0.0204389407246026,0.0190583583400087,TRUE,TRUE,"active_minus_pre_14_day"
"atx_6b4cfd1ab927","Horned Grebe",-0.0684896648823724,0.0201125342891319,FALSE,TRUE,"active_minus_pre_14_day"
"atx_aa5353f6d6d2","Iceland Gull",0.25534451030948,0.132341263201429,TRUE,TRUE,"active_minus_pre_14_day"
"atx_d002764a39e8","Lesser Scaup",0.232836335668175,0.0847311271873364,TRUE,TRUE,"active_minus_pre_14_day"
"atx_40f730f5ad72","Long-tailed Duck",0.130478662180212,0.359167543876526,TRUE,TRUE,"active_minus_pre_14_day"
"atx_815c98107028","Mallard",0.0142015794581473,0.0697044652027688,TRUE,TRUE,"active_minus_pre_14_day"
"atx_acf526bb8010","Marbled Murrelet",-0.0669764034036432,0.0731899390372572,FALSE,TRUE,"active_minus_pre_14_day"
"atx_7d980a7c8c37","Northern Pintail",0.186752283995008,0.0791808583197926,TRUE,TRUE,"active_minus_pre_14_day"
"atx_c34f23342a55","Pacific Loon",-0.065323186781322,0.145567611612771,FALSE,TRUE,"active_minus_pre_14_day"
"atx_35707a9578d5","Pelagic Cormorant",0.0469494035312908,0.0240974481228979,TRUE,TRUE,"active_minus_pre_14_day"
"atx_8608f2ed61cf","Pigeon Guillemot",-0.0104202694801945,0.0174364466264811,FALSE,TRUE,"active_minus_pre_14_day"
"atx_c2d1fbbaf6d3","Red-breasted Merganser",-0.00857060762701219,0.120334268275913,FALSE,TRUE,"active_minus_pre_14_day"
"atx_86eda7ed9025","Red-necked Grebe",0.0621357164615469,0.0177343805652529,TRUE,TRUE,"active_minus_pre_14_day"
"atx_04cf65098f13","Red-throated Loon",-0.00129015980844558,0.0438395787883444,FALSE,TRUE,"active_minus_pre_14_day"
"atx_08bb40b40c0a","Ring-billed Gull",-0.0326890335453941,0.0272248294295547,FALSE,TRUE,"active_minus_pre_14_day"
"atx_e0e678a61ad7","Short-billed Gull",0.223751605332705,0.262176582844057,TRUE,TRUE,"active_minus_pre_14_day"
"atx_1930f23cc4f8","Surf Scoter",0.0033872325247271,0.265309245535371,TRUE,TRUE,"active_minus_pre_14_day"
"atx_ebf17f77fb66","Western Grebe",-0.264085044506382,0.111248546282967,FALSE,TRUE,"active_minus_pre_14_day"
"atx_5a9a3495d0ea","Western Gull",0.153166158282851,0.0701417524384904,TRUE,TRUE,"active_minus_pre_14_day"
"atx_3083477933a8","White-winged Scoter",0.0785472556808884,0.158220741237151,TRUE,TRUE,"active_minus_pre_14_day"
