scope,item,period_id,metric_1,metric_2,recommendation,evidence
region_period,NA,start_2005,6,0.286,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=11;redistribution_feasible=true
region_period,NA,start_2010,6,0.375,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=6;redistribution_feasible=true
region_period,NA,start_2015,6,0.545,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=3;redistribution_feasible=true
region_period,PRD,complete_1988_2025,2,0.053,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=36;redistribution_feasible=false
region_period,PRD,start_2005,2,0.095,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=19;redistribution_feasible=false
region_period,PRD,start_2010,2,0.125,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=14;redistribution_feasible=false
region_period,PRD,start_2015,2,0.182,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=9;redistribution_feasible=false
region_period,SoG,complete_1988_2025,24,0.632,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=11;redistribution_feasible=true
region_period,SoG,start_2005,21,1,retain as primary,adequate_years;passing_year_share;maximum_failing_run=0;redistribution_feasible=true
region_period,SoG,start_2010,16,1,retain as primary,adequate_years;passing_year_share;maximum_failing_run=0;redistribution_feasible=true
region_period,SoG,start_2015,11,1,retain as primary,adequate_years;passing_year_share;maximum_failing_run=0;redistribution_feasible=true
region_period,WCVI,complete_1988_2025,13,0.342,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=21;redistribution_feasible=true
region_period,WCVI,start_2005,13,0.619,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=4;redistribution_feasible=true
region_period,WCVI,start_2010,12,0.75,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=3;redistribution_feasible=true
region_period,WCVI,start_2015,11,1,retain as primary,adequate_years;passing_year_share;maximum_failing_run=0;redistribution_feasible=true
