effort_frame,period_id,region,event_time_stratum,distance_stratum,independent_events,herring_source_events,unique_observer_clusters,unique_generalized_locations,suppressed_below_20
high_spatial_precision,complete_1988_2025,HG,early_pre,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_pre,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,HG,immediate_pre,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,HG,immediate_pre,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,HG,immediate_pre,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,HG,immediate_pre,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,HG,immediate_pre,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,HG,immediate_pre,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,HG,immediate_pre,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,HG,immediate_pre,ring_10_20,21,43,12,16,false
high_spatial_precision,complete_1988_2025,HG,spawn_start,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,HG,spawn_start,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,HG,spawn_start,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,HG,spawn_start,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,HG,spawn_start,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,HG,spawn_start,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,HG,spawn_start,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,HG,spawn_start,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_egg,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_egg,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_egg,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,HG,late_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,HG,late_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,HG,late_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,HG,late_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,HG,late_egg,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,HG,late_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,HG,late_egg,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,HG,late_egg,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,HG,post,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,HG,post,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,HG,post,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,HG,post,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,HG,post,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,HG,post,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,HG,post,ring_5_10,28,68,10,24,false
high_spatial_precision,complete_1988_2025,HG,post,ring_10_20,87,104,19,44,false
high_spatial_precision,complete_1988_2025,NA,early_pre,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,NA,early_pre,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,NA,early_pre,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,NA,early_pre,ring_2_3,27,10,19,10,false
high_spatial_precision,complete_1988_2025,NA,early_pre,ring_3_4,62,8,49,8,false
high_spatial_precision,complete_1988_2025,NA,early_pre,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,NA,early_pre,ring_5_10,309,29,120,92,false
high_spatial_precision,complete_1988_2025,NA,early_pre,ring_10_20,518,21,242,163,false
high_spatial_precision,complete_1988_2025,NA,immediate_pre,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,NA,immediate_pre,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,NA,immediate_pre,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,NA,immediate_pre,ring_2_3,56,12,42,13,false
high_spatial_precision,complete_1988_2025,NA,immediate_pre,ring_3_4,82,11,60,18,false
high_spatial_precision,complete_1988_2025,NA,immediate_pre,ring_4_5,27,14,18,19,false
high_spatial_precision,complete_1988_2025,NA,immediate_pre,ring_5_10,495,31,193,127,false
high_spatial_precision,complete_1988_2025,NA,immediate_pre,ring_10_20,853,26,336,225,false
high_spatial_precision,complete_1988_2025,NA,spawn_start,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,NA,spawn_start,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,NA,spawn_start,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,NA,spawn_start,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,NA,spawn_start,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,NA,spawn_start,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,NA,spawn_start,ring_5_10,81,15,42,45,false
high_spatial_precision,complete_1988_2025,NA,spawn_start,ring_10_20,127,12,71,69,false
high_spatial_precision,complete_1988_2025,NA,early_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,NA,early_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,NA,early_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,NA,early_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,NA,early_egg,ring_3_4,24,11,22,17,false
high_spatial_precision,complete_1988_2025,NA,early_egg,ring_4_5,22,10,9,9,false
high_spatial_precision,complete_1988_2025,NA,early_egg,ring_5_10,210,24,86,68,false
high_spatial_precision,complete_1988_2025,NA,early_egg,ring_10_20,399,32,184,146,false
high_spatial_precision,complete_1988_2025,NA,late_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,NA,late_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,NA,late_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,NA,late_egg,ring_2_3,24,8,14,11,false
high_spatial_precision,complete_1988_2025,NA,late_egg,ring_3_4,38,12,32,17,false
