"pooling_family_id_v2","component_evidence_id","stable_unit_id","region","contrast","canonical_model_id","unit_class","response_state","component_estimand_id","included_in_future_estimator","disposition_reason_code"
"pf2_014e32cc75613e964bccf940","ce2_2c7252498f0a9ef2226d003f","atx_9ae1aa9b7fdf","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_2d7fa1a3501863e56027e95c","atx_v2_000003","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_2de9b553cbbaab1575e42a6f","atx_fc0a9b777dcd","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_2eedbf4930b923ff7ec10b94","atx_fc0a9b777dcd","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_2f124fc7545d6e5c74541139","atx_87b306550dba","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_31c64659d01b2956fd725ccc","atx_aa5353f6d6d2","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_31f613b6357054626167290e","atx_v2_000003","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_32784f869fa1c61bb8f317d1","atx_1930f23cc4f8","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_3298f927efe9459bb98cae5a","atx_725074cbfcb6","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_36f840069d8afb02963538d5","atx_6b4cfd1ab927","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_3944923a4b11554956c0bc2b","atx_d7dd9536145c","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_39b35dbdc77f1384d9d135b0","atx_a444854c6b66","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_3e71e391d771edb102bbbc29","atx_v2_000007","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_3e757fc6e1ec23a4ae8075a9","atx_82312e6f2848","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_410dafbe053e33fa30a9e1f8","atx_a113baee5693","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_42cae771c84b7fb769fcb31c","atx_8608f2ed61cf","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_4457d7122724ab11f6a8aa9b","atx_136b0e66254b","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_44ab57d2d9af2b1f347c81ae","atx_d7dd9536145c","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_46009c237db411df4d8dcdd3","atx_7b80ddaff058","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_4690ff7d22506408fbfffe36","atx_815c98107028","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_46e941b29c831673124201de","atx_04afbeb21fb0","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_4df18a70069d527a2f11fd98","atx_35707a9578d5","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_4fcfbc6fcbebb917111758bb","atx_3083477933a8","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_520cc4074b379539de8df4de","atx_815c98107028","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5231015479d3e01b11af4455","atx_6cbe5bbd310c","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_52457736f75d5d37fd73c4d9","atx_b3d3ea90f9cb","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_52619c9c7947d6089a8fddcf","atx_1812dd827ede","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_52f45d587bb911eaedc9a26a","atx_c2d1fbbaf6d3","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_543423f264b89bd1fd951467","atx_15dd5efcd8d6","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_54e2f7068d7f3eaee016b679","atx_6cbe5bbd310c","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_55a33ed8c45ce2bc326cd5b2","atx_7b80ddaff058","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_58706e15a47694427fbe9d63","atx_fadb8da1a816","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_58d46931c1b9b01c5baf9a79","atx_e0e678a61ad7","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5bee7755df1752076c3470f1","atx_35707a9578d5","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5c1690db080332bc2c50c9d5","atx_87b306550dba","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5c2554d9b7a4f527b177a47c","atx_v2_000002","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5d1bdfb3adf18dc3680691b8","atx_c12b832d2b03","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5e10d3046c61193e6721b91b","atx_a113baee5693","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5e3eb2f84211ae9011096eec","atx_35707a9578d5","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5f5d64ba70a1721328d53c95","atx_1930f23cc4f8","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_5ff54023f5b34d48f89b834a","atx_c2d1fbbaf6d3","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_608a4b91c8f5607a56d0962f","atx_6b4cfd1ab927","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_6101ddfa66830a20da72639a","atx_c9db024faf12","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_61255694fd1c4b212e52d33f","atx_acf526bb8010","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_612e6db150de901bf1b45f0c","atx_c9db024faf12","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_620ecf39ef8eff175211bbff","atx_99238953638b","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_63807a12633d4b5c458f7305","atx_c34f23342a55","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_63e1a7924a40e4bb3819c2dd","atx_b3d3ea90f9cb","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_643a918f4379236c96db9f92","atx_v2_000007","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_64761db98a4105ea8555dd59","atx_87b306550dba","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_651734fa26edb60fd5afc3e4","atx_v2_000007","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_66dfc58220fc5c6c45dd9a83","atx_815c98107028","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_67af40c01e1dfdaeb8da7228","atx_725074cbfcb6","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_684d2f997ac8e63651267d7d","atx_04afbeb21fb0","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
