"model_id","region","unit_label","unit_class","outcome","contrast","effect_scale","estimate","standard_error","conf_low","conf_high","p_value","q_value","n","status","partial_pool_estimate_v2","partial_pool_standard_error_v2","partial_pool_conf_low_v2","partial_pool_conf_high_v2","pooling_reason_code_v2","analysis_role"
"M02","WCVI","Glaucous-winged Gull","species","detection","active_near","log_odds",0.00524744786802894,0.12939340745136,-0.248363630736636,0.258858526472694,0.967651286456659,0.975774737777993,8568,"completed",0.0223986143527785,0.127777483909668,-0.228040652145316,0.272837880850873,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","Harlequin Duck","species","detection","active_near","log_odds",0.501790574851147,0.255673834889278,0.000669858468161366,1.00291129123413,0.0496903482047459,0.0695664874866442,8584,"completed",0.519367771040705,0.243844591515436,0.04144115384557,0.99729438823584,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","Short-billed Gull","species","detection","active_near","log_odds",1.03515053332842,0.149011072054879,0.743088832100855,1.32721223455598,3.7365741573459e-12,4.57730334274873e-11,8584,"completed",1.02408404416085,0.146558019287507,0.736835604711813,1.31133248360989,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","Surf Scoter","species","detection","active_near","log_odds",0.973934984392502,0.147652341318109,0.684536395409008,1.263333573376,4.22010669312565e-11,3.44642046605261e-10,8581,"completed",0.965026720875221,0.14526471722778,0.680313106884377,1.24974033486606,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","White-winged Scoter","species","detection","active_near","log_odds",0.701874868804537,0.207662460957336,0.294856445328158,1.10889329228092,0.000725166325082062,0.00187016578573795,8584,"completed",0.701528379532323,0.201172888137482,0.307236764116953,1.09581999494769,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","Glaucous-winged Gull","species","positive_count","active_near","log_expected_positive_numeric_count",0.942407829658052,0.129686898811577,0.688221507987361,1.19659415132874,4.39510391786706e-13,7.03216626858729e-12,4075,"completed",0.940009770327783,0.129365743521309,0.686457572192771,1.19356196846279,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","Harlequin Duck","species","positive_count","active_near","log_expected_positive_numeric_count",0.196658325302818,0.195383697869511,-0.186293722521423,0.57961037312706,0.314825062842286,0.455037233946825,397,"completed",0.199570099556175,0.194290620620831,-0.181232519394588,0.580372718506939,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","Short-billed Gull","species","positive_count","active_near","log_expected_positive_numeric_count",1.32445326746117,0.170553235889867,0.990168925117034,1.65873760980531,1.56543236752754e-14,3.7570376820661e-13,1421,"completed",1.31706388307772,0.169824730657329,0.984213527305137,1.6499142388503,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","Surf Scoter","species","positive_count","active_near","log_expected_positive_numeric_count",1.17110739756034,0.195163781488746,0.7885863858424,1.55362840927828,2.36404423874121e-09,1.89123539099297e-08,1857,"completed",1.16316424002776,0.194074370534343,0.782785463458167,1.54354301659735,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","WCVI","White-winged Scoter","species","positive_count","active_near","log_expected_positive_numeric_count",0.41973556773269,0.235218909583319,-0.0412934950506158,0.880764630515996,0.0748021857731822,0.157264983317774,701,"completed",0.420345198661602,0.23331883002649,-0.0369513051053411,0.877641702428546,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
