"pooling_family_id_v2","component_count","pooling_axis_count","canonical_model_id_unique_n","model_architecture_unique_n","component_estimand_id_unique_n","response_state_unique_n","unit_class_unique_n","effect_scale_unique_n","exposure_definition_unique_n","temporal_window_unique_n","spatial_buffer_unique_n","analysis_population_unique_n","adjustment_set_unique_n","component_role_unique_n","coefficient_meaning_unique_n","variance_meaning_unique_n","compatibility_status","estimability_status"
"pf2_440ab72a650d04c21f6d8931",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_44f8789dfb92ad4f3b6199b1",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_4b64abd9ea661f9fc035b3c0",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_4b7dbeea1e40b275db2bc950",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_4cbeb8a0bf99e42c46d46736",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_4edf7476b9bc359016605161",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_4f37f41a699ca7511e403104",35,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_50a1cac55941640e016d5550",34,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_51234137712d39ff16a46eeb",7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_515089d71c74f08314384533",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_53df337391e1b48cdb837da7",37,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_552ee69660c7b0b04604bbf3",38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_5576ecbbcc774e8e0c3b963e",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_58ffdfbc0d66c69125176cc1",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_592ea580069a21d903484077",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_5a5691cea29578be5f3cdce2",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_5d7ef853a04596b1a965767c",7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_5dca0f621713321d3d73e263",40,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_5e1fc7e5cfb6ac85ebb598e8",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_60e186458b114306b9897a8d",43,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_61a0e68c3d7e80dd02817006",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_625ea416a9f5b375e7c490da",40,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_63bc518afd05de1d2ab6ae0e",7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_6447af154a1cc27046b2990a",48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_6751d3465e523c1ef41a6f32",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_68c6dd26e926fed45cd6bf24",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_69d6fbb2f9a85b6402fe3d96",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_6a5700c3b44b001aa0bda865",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_6a999f0679e63f0eb684802a",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_6ae195e0086cba11030e6fe0",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_6de08f6d05672dbaa33623b0",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_70a94f064d7cba8d1afdd1da",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_71285c1018ad6c55259be692",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_7378f21200fbf212de0e3573",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_74299afa9daaa3273107c723",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_74542ad14d7b350d085128fa",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_748f22e81726d183a50e8679",48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_74bfe919efb974feb8c48923",35,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_7512ad88c8966f79d2d41477",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_75aae9900419760a3bbca941",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_76670464fe37ed823d25ed17",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_767e79249393e839d9193f96",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_7819edec1e718ad37db1bfc0",7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_78405cc1c62824e523c93fbf",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_78c4c72003949055f5650cdd",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_7b73e981c6affbb4f343ae20",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_7dd2698f4c2ccba151c402af",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_7f304eef1fb088254ad13701",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_7f65ae013ee33b8214ac4a9e",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_819eef5c4840285a6462ce7d",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_832d8d6844bd2ae0cb1181d4",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_8335a69e32697ca969360490",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
