"v1_effect_row_id","pooling_family_id_v2","component_evidence_id","model_id","canonical_model_id","included_in_future_estimator","disposition_reason_code","numeric_input_reason_code"
"v1r_ecb76d525bb5330f11e1b863","pf2_bb54dfc1f89d5084aba89b7a","ce2_ec7f305bbea56f9b9e301f35","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ecb78a8d8a181bd16a197b72","pf2_7512ad88c8966f79d2d41477","ce2_5901e4ee58f7fb74aacfedbf","M11","M02",FALSE,"EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION"
"v1r_ecbc4752821ec564c061481f","pf2_0c43b34c92c9d357271c4c73","ce2_cda5ff6b9d9517241aff7406","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ecd73f4ce8b416f7938116a0","pf2_cd2ff09d41d379356825fac7","ce2_50d2a060846c41aeb1be7313","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ecd831fd39a76f8888b67d19","pf2_f895c6e22b514b1ae38f7025","ce2_08caa067ecaa2c60e7d59f3b","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ecda602a58c4f5e88be84435","pf2_86ea7f60d851e93adaa5463a","ce2_f1ce9e6e5c7734f833658564","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ece06099d3320db61fe8b586","pf2_8f08065cb779fadd37dc476c","ce2_b63dfc9358b31a140ecefbc1","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ece43bce8ea9c9b09d554c2c","pf2_625ea416a9f5b375e7c490da","ce2_a2a3f014e0dfd25853e4a402","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ecf5aa89b9ac893a75aa8ba8","pf2_09fa5f08ca9b9221d529eeb6","ce2_80eecf82ec27d37b320f5530","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ecfef67eb8e813d57a9d2736","pf2_13dbdf27d4f9b30359c872b0","ce2_37d3451d26059e42f7e9d765","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed0cb36fc2314d5503b412d1","pf2_2528e021f2372b8b1771c83a","ce2_f1a069c97798526978af201e","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed3ae3059471a48067eeadbb","pf2_b44984f7fd9719c3da33c58d","ce2_8944b26e9a15221468d50a7c","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed3d7787482e8ef91cc3deec","pf2_36e1bff0b90bbf366a916df1","ce2_6e7b8b9064a57cd1895bf80b","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed42df5df20673118fb4aa91","pf2_2528e021f2372b8b1771c83a","ce2_55035ac1ed86ce9b336c3409","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed449312fb54c4fa730dd307","pf2_0550e7309fdc7112449ff585","ce2_fdac84ae57aa937181a76d61","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed4cf986c779b8f053799532","pf2_7dd2698f4c2ccba151c402af","ce2_dde58428cba986bdfb84caef","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed51d563fabb7fb90fb43ba4","pf2_61a0e68c3d7e80dd02817006","ce2_4605b96129406554e7fc5675","M08","M08",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed56c943226a7f28a4841927","pf2_8f08065cb779fadd37dc476c","ce2_60b94eac105fb9cecd25c5a6","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed5c917815c418da7e90c85b","pf2_0bf7f854b0241d9d7e9cce17","ce2_f7c5f51985cb099008caf4db","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed65cd38e55b2f53d3c70c8c","pf2_0bdfe4f2895698685dec17c5","ce2_6455b7b2f7a10c69432480f6","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed6e5b191324499db5a37c82","pf2_0bf7f854b0241d9d7e9cce17","ce2_d017ffeb2be14e4da25fc779","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed742784a5b024e44853fda8","pf2_14b77668b36fcb5b883340d2","ce2_351d38f87d98734ae0f64aa9","M02","M02",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed7e184becaba616da04794e","pf2_3ad47b92ddd587d639f854a9","ce2_917d4e7436c0fce1c45ee0bb","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ed9d247f14d97f8b8de02afe","pf2_14b77668b36fcb5b883340d2","ce2_940bcf2e8fe8b05b4afc5677","M02","M02",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eda73bbb3c9e426728c7eb29","pf2_74299afa9daaa3273107c723","ce2_2135ef595c20c89cc93a95c8","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_edab2f90f2dae804495e0731","pf2_f3f7c212139e2f819dc5083c","ce2_481b8d3a8a981f2e30b66b1f","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_edadeffe01af4d461feb8beb","pf2_3f38436741c7339c717c4fc5","ce2_04213d312b734975be1add5c","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_edb120e73238a20e3acf3aed","pf2_832d8d6844bd2ae0cb1181d4","ce2_6bcebe84f6b61e3049f6fe2e","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_edb17cc60db4e7b098aad308","pf2_cd2ff09d41d379356825fac7","ce2_f62b96e2ec7e3472287c9fbf","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_edc615f6fe2a8e67dae36454","pf2_8f08065cb779fadd37dc476c","ce2_dc9f6ff1db3a57dddb20d380","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
